POI: 			Omari_Hardwick 
Youtube ID: 	VCF5Hxe1F9Y 
Video length: 	512.9 sec 
Set (V): 		dev 
 
Omari_Hardwick/VCF5Hxe1F9Y_0000001 02.8 16.2 
Omari_Hardwick/VCF5Hxe1F9Y_0000002 17.0 28.2 
Omari_Hardwick/VCF5Hxe1F9Y_0000003 68.8 75.3 
Omari_Hardwick/VCF5Hxe1F9Y_0000004 96.0 100.3 
Omari_Hardwick/VCF5Hxe1F9Y_0000005 111.7 118.3 
Omari_Hardwick/VCF5Hxe1F9Y_0000006 119.2 125.9 
Omari_Hardwick/VCF5Hxe1F9Y_0000007 139.5 148.0 
Omari_Hardwick/VCF5Hxe1F9Y_0000008 152.2 156.9 
Omari_Hardwick/VCF5Hxe1F9Y_0000009 172.2 180.2 
Omari_Hardwick/VCF5Hxe1F9Y_0000010 195.4 201.5 
Omari_Hardwick/VCF5Hxe1F9Y_0000011 206.8 214.3 
Omari_Hardwick/VCF5Hxe1F9Y_0000012 241.4 252.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000013 268.4 272.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000014 274.6 281.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000015 298.9 311.3 
Omari_Hardwick/VCF5Hxe1F9Y_0000016 321.3 338.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000017 341.8 354.0 
Omari_Hardwick/VCF5Hxe1F9Y_0000018 365.8 372.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000019 378.6 384.1 
Omari_Hardwick/VCF5Hxe1F9Y_0000020 421.1 426.7 
Omari_Hardwick/VCF5Hxe1F9Y_0000021 427.4 431.9 
Omari_Hardwick/VCF5Hxe1F9Y_0000022 432.6 436.9 
Omari_Hardwick/VCF5Hxe1F9Y_0000023 443.3 456.4 
Omari_Hardwick/VCF5Hxe1F9Y_0000024 468.2 482.8 
Omari_Hardwick/VCF5Hxe1F9Y_0000025 483.8 493.9 
