POI: 			Mariel_Hemingway 
Youtube ID: 	sVPg5TuRNaM 
Video length: 	1710.1 sec 
Set (V): 		dev 
 
Mariel_Hemingway/sVPg5TuRNaM_0000001 02.2 18.9 
Mariel_Hemingway/sVPg5TuRNaM_0000002 132.3 138.1 
Mariel_Hemingway/sVPg5TuRNaM_0000003 144.5 154.2 
Mariel_Hemingway/sVPg5TuRNaM_0000004 384.1 415.6 
Mariel_Hemingway/sVPg5TuRNaM_0000005 445.6 465.1 
Mariel_Hemingway/sVPg5TuRNaM_0000006 467.4 472.5 
Mariel_Hemingway/sVPg5TuRNaM_0000007 477.9 494.3 
Mariel_Hemingway/sVPg5TuRNaM_0000008 495.0 503.8 
Mariel_Hemingway/sVPg5TuRNaM_0000009 504.8 511.4 
Mariel_Hemingway/sVPg5TuRNaM_0000010 513.8 520.5 
Mariel_Hemingway/sVPg5TuRNaM_0000011 525.2 537.0 
Mariel_Hemingway/sVPg5TuRNaM_0000012 592.0 609.4 
Mariel_Hemingway/sVPg5TuRNaM_0000013 621.3 633.6 
Mariel_Hemingway/sVPg5TuRNaM_0000014 607.7 621.0 
Mariel_Hemingway/sVPg5TuRNaM_0000015 635.5 646.4 
Mariel_Hemingway/sVPg5TuRNaM_0000016 708.1 714.9 
Mariel_Hemingway/sVPg5TuRNaM_0000017 903.4 910.6 
Mariel_Hemingway/sVPg5TuRNaM_0000018 921.6 927.8 
Mariel_Hemingway/sVPg5TuRNaM_0000019 927.9 932.1 
Mariel_Hemingway/sVPg5TuRNaM_0000020 920.4 927.7 
Mariel_Hemingway/sVPg5TuRNaM_0000021 937.9 943.6 
Mariel_Hemingway/sVPg5TuRNaM_0000022 985.6 991.6 
Mariel_Hemingway/sVPg5TuRNaM_0000023 993.1 998.4 
Mariel_Hemingway/sVPg5TuRNaM_0000024 1000.4 1004.9 
Mariel_Hemingway/sVPg5TuRNaM_0000025 1009.5 1016.4 
Mariel_Hemingway/sVPg5TuRNaM_0000026 1055.1 1062.1 
Mariel_Hemingway/sVPg5TuRNaM_0000027 1083.3 1089.9 
Mariel_Hemingway/sVPg5TuRNaM_0000028 1092.3 1098.2 
Mariel_Hemingway/sVPg5TuRNaM_0000029 1099.8 1107.8 
Mariel_Hemingway/sVPg5TuRNaM_0000030 1110.9 1122.7 
Mariel_Hemingway/sVPg5TuRNaM_0000031 1133.4 1139.1 
Mariel_Hemingway/sVPg5TuRNaM_0000032 1150.8 1156.5 
Mariel_Hemingway/sVPg5TuRNaM_0000033 1306.8 1324.7 
Mariel_Hemingway/sVPg5TuRNaM_0000034 1330.3 1334.9 
Mariel_Hemingway/sVPg5TuRNaM_0000035 1336.0 1341.9 
Mariel_Hemingway/sVPg5TuRNaM_0000036 1353.2 1366.1 
Mariel_Hemingway/sVPg5TuRNaM_0000037 1370.5 1375.9 
Mariel_Hemingway/sVPg5TuRNaM_0000038 1377.8 1383.8 
Mariel_Hemingway/sVPg5TuRNaM_0000039 1389.9 1400.6 
Mariel_Hemingway/sVPg5TuRNaM_0000040 1410.0 1415.8 
Mariel_Hemingway/sVPg5TuRNaM_0000041 1416.7 1422.8 
Mariel_Hemingway/sVPg5TuRNaM_0000042 1430.4 1456.2 
Mariel_Hemingway/sVPg5TuRNaM_0000043 1459.3 1470.7 
Mariel_Hemingway/sVPg5TuRNaM_0000044 1474.6 1481.3 
Mariel_Hemingway/sVPg5TuRNaM_0000045 1494.0 1498.6 
