POI: 			Mariel_Hemingway 
Youtube ID: 	RHpr11_ZQ3I 
Video length: 	302.2 sec 
Set (V): 		dev 
 
Mariel_Hemingway/RHpr11_ZQ3I_0000001 04.2 09.4 
Mariel_Hemingway/RHpr11_ZQ3I_0000002 10.0 18.2 
Mariel_Hemingway/RHpr11_ZQ3I_0000003 19.0 35.5 
Mariel_Hemingway/RHpr11_ZQ3I_0000004 46.4 50.7 
Mariel_Hemingway/RHpr11_ZQ3I_0000005 51.0 57.2 
Mariel_Hemingway/RHpr11_ZQ3I_0000006 67.6 72.9 
Mariel_Hemingway/RHpr11_ZQ3I_0000007 98.6 105.6 
Mariel_Hemingway/RHpr11_ZQ3I_0000008 113.0 118.8 
Mariel_Hemingway/RHpr11_ZQ3I_0000009 120.1 127.7 
Mariel_Hemingway/RHpr11_ZQ3I_0000010 135.3 146.2 
Mariel_Hemingway/RHpr11_ZQ3I_0000011 148.3 152.8 
Mariel_Hemingway/RHpr11_ZQ3I_0000012 159.6 164.8 
Mariel_Hemingway/RHpr11_ZQ3I_0000013 165.2 169.9 
Mariel_Hemingway/RHpr11_ZQ3I_0000014 170.2 174.4 
Mariel_Hemingway/RHpr11_ZQ3I_0000015 182.2 194.6 
Mariel_Hemingway/RHpr11_ZQ3I_0000016 195.5 200.4 
Mariel_Hemingway/RHpr11_ZQ3I_0000017 214.2 229.6 
Mariel_Hemingway/RHpr11_ZQ3I_0000018 259.0 264.3 
Mariel_Hemingway/RHpr11_ZQ3I_0000019 266.9 271.6 
Mariel_Hemingway/RHpr11_ZQ3I_0000020 272.0 277.3 
Mariel_Hemingway/RHpr11_ZQ3I_0000021 278.6 292.9 
