POI: 			James_Woods 
Youtube ID: 	cRYaG6y9TmU 
Video length: 	2649.2 sec 
Set (V): 		dev 
 
James_Woods/cRYaG6y9TmU_0000001 98.2 109.3 
James_Woods/cRYaG6y9TmU_0000002 110.7 116.3 
James_Woods/cRYaG6y9TmU_0000003 135.4 147.7 
James_Woods/cRYaG6y9TmU_0000004 157.2 165.5 
James_Woods/cRYaG6y9TmU_0000005 168.1 177.2 
James_Woods/cRYaG6y9TmU_0000006 185.4 192.5 
James_Woods/cRYaG6y9TmU_0000007 179.5 192.5 
James_Woods/cRYaG6y9TmU_0000008 196.9 205.1 
James_Woods/cRYaG6y9TmU_0000009 206.1 216.5 
James_Woods/cRYaG6y9TmU_0000010 219.3 227.6 
James_Woods/cRYaG6y9TmU_0000011 238.8 253.8 
James_Woods/cRYaG6y9TmU_0000012 254.2 261.2 
James_Woods/cRYaG6y9TmU_0000013 250.2 256.8 
James_Woods/cRYaG6y9TmU_0000014 267.9 284.8 
James_Woods/cRYaG6y9TmU_0000015 295.6 301.8 
James_Woods/cRYaG6y9TmU_0000016 303.2 310.2 
James_Woods/cRYaG6y9TmU_0000017 310.6 328.6 
James_Woods/cRYaG6y9TmU_0000018 346.0 354.5 
James_Woods/cRYaG6y9TmU_0000019 363.3 383.6 
James_Woods/cRYaG6y9TmU_0000020 385.2 390.7 
James_Woods/cRYaG6y9TmU_0000021 403.0 414.3 
James_Woods/cRYaG6y9TmU_0000022 432.0 438.6 
James_Woods/cRYaG6y9TmU_0000023 440.9 459.0 
James_Woods/cRYaG6y9TmU_0000024 490.0 500.7 
James_Woods/cRYaG6y9TmU_0000025 505.1 517.0 
James_Woods/cRYaG6y9TmU_0000026 517.2 528.6 
James_Woods/cRYaG6y9TmU_0000027 533.9 540.0 
James_Woods/cRYaG6y9TmU_0000028 551.5 557.7 
James_Woods/cRYaG6y9TmU_0000029 568.2 588.4 
James_Woods/cRYaG6y9TmU_0000030 595.6 617.9 
James_Woods/cRYaG6y9TmU_0000031 624.5 637.8 
James_Woods/cRYaG6y9TmU_0000032 674.4 691.5 
James_Woods/cRYaG6y9TmU_0000033 711.8 729.9 
James_Woods/cRYaG6y9TmU_0000034 737.4 743.2 
James_Woods/cRYaG6y9TmU_0000035 753.9 768.9 
James_Woods/cRYaG6y9TmU_0000036 771.3 794.1 
James_Woods/cRYaG6y9TmU_0000037 803.9 810.2 
James_Woods/cRYaG6y9TmU_0000038 830.0 834.4 
James_Woods/cRYaG6y9TmU_0000039 839.5 852.8 
James_Woods/cRYaG6y9TmU_0000040 859.1 869.8 
James_Woods/cRYaG6y9TmU_0000041 938.8 943.0 
James_Woods/cRYaG6y9TmU_0000042 944.0 955.4 
James_Woods/cRYaG6y9TmU_0000043 960.7 977.1 
James_Woods/cRYaG6y9TmU_0000044 992.6 996.8 
James_Woods/cRYaG6y9TmU_0000045 1008.1 1019.8 
James_Woods/cRYaG6y9TmU_0000046 1030.2 1034.4 
James_Woods/cRYaG6y9TmU_0000047 1035.1 1048.9 
James_Woods/cRYaG6y9TmU_0000048 1096.1 1107.1 
James_Woods/cRYaG6y9TmU_0000049 1108.9 1116.7 
James_Woods/cRYaG6y9TmU_0000050 1117.6 1122.0 
James_Woods/cRYaG6y9TmU_0000051 1122.3 1143.5 
James_Woods/cRYaG6y9TmU_0000052 1145.5 1157.1 
James_Woods/cRYaG6y9TmU_0000053 1175.8 1181.0 
James_Woods/cRYaG6y9TmU_0000054 1194.0 1200.2 
James_Woods/cRYaG6y9TmU_0000055 1218.6 1225.9 
James_Woods/cRYaG6y9TmU_0000056 1227.0 1236.0 
James_Woods/cRYaG6y9TmU_0000057 1237.8 1246.9 
James_Woods/cRYaG6y9TmU_0000058 1260.8 1264.8 
James_Woods/cRYaG6y9TmU_0000059 1265.2 1273.9 
James_Woods/cRYaG6y9TmU_0000060 1277.3 1286.0 
James_Woods/cRYaG6y9TmU_0000061 1287.0 1292.0 
James_Woods/cRYaG6y9TmU_0000062 1301.2 1310.7 
James_Woods/cRYaG6y9TmU_0000063 1316.3 1321.8 
James_Woods/cRYaG6y9TmU_0000064 1330.4 1334.5 
James_Woods/cRYaG6y9TmU_0000065 1344.2 1354.9 
James_Woods/cRYaG6y9TmU_0000066 1356.2 1363.3 
James_Woods/cRYaG6y9TmU_0000067 1395.6 1410.0 
James_Woods/cRYaG6y9TmU_0000068 1411.6 1422.6 
James_Woods/cRYaG6y9TmU_0000069 1423.0 1429.7 
James_Woods/cRYaG6y9TmU_0000070 1430.7 1447.6 
James_Woods/cRYaG6y9TmU_0000071 1449.1 1467.0 
James_Woods/cRYaG6y9TmU_0000072 1474.2 1480.0 
James_Woods/cRYaG6y9TmU_0000073 1480.7 1491.2 
James_Woods/cRYaG6y9TmU_0000074 1492.6 1497.6 
James_Woods/cRYaG6y9TmU_0000075 1498.5 1506.0 
James_Woods/cRYaG6y9TmU_0000076 1512.5 1523.9 
James_Woods/cRYaG6y9TmU_0000077 1524.4 1539.7 
James_Woods/cRYaG6y9TmU_0000078 1540.3 1552.2 
James_Woods/cRYaG6y9TmU_0000079 1556.2 1569.9 
James_Woods/cRYaG6y9TmU_0000080 1571.7 1576.7 
James_Woods/cRYaG6y9TmU_0000081 1577.0 1583.1 
James_Woods/cRYaG6y9TmU_0000082 1588.5 1618.6 
James_Woods/cRYaG6y9TmU_0000083 1628.0 1637.1 
James_Woods/cRYaG6y9TmU_0000084 1636.0 1641.6 
James_Woods/cRYaG6y9TmU_0000085 1645.7 1651.3 
James_Woods/cRYaG6y9TmU_0000086 1653.1 1668.3 
James_Woods/cRYaG6y9TmU_0000087 1668.5 1677.0 
James_Woods/cRYaG6y9TmU_0000088 1680.5 1689.2 
James_Woods/cRYaG6y9TmU_0000089 1690.9 1699.3 
James_Woods/cRYaG6y9TmU_0000090 1711.1 1726.6 
James_Woods/cRYaG6y9TmU_0000091 1755.7 1763.8 
James_Woods/cRYaG6y9TmU_0000092 1767.5 1775.8 
James_Woods/cRYaG6y9TmU_0000093 1806.2 1827.4 
James_Woods/cRYaG6y9TmU_0000094 1829.2 1839.6 
James_Woods/cRYaG6y9TmU_0000095 1840.7 1854.9 
James_Woods/cRYaG6y9TmU_0000096 1858.0 1866.5 
James_Woods/cRYaG6y9TmU_0000097 1871.7 1877.2 
James_Woods/cRYaG6y9TmU_0000098 1878.4 1890.1 
James_Woods/cRYaG6y9TmU_0000099 1894.8 1901.6 
James_Woods/cRYaG6y9TmU_0000100 1913.8 1923.2 
James_Woods/cRYaG6y9TmU_0000101 1933.0 1940.9 
James_Woods/cRYaG6y9TmU_0000102 1942.0 1948.3 
