POI: 			James_Woods 
Youtube ID: 	BrJkp6rQHME 
Video length: 	1617.7 sec 
Set (V): 		dev 
 
James_Woods/BrJkp6rQHME_0000001 41.0 46.0 
James_Woods/BrJkp6rQHME_0000002 48.9 56.1 
James_Woods/BrJkp6rQHME_0000003 56.2 68.1 
James_Woods/BrJkp6rQHME_0000004 69.4 77.6 
James_Woods/BrJkp6rQHME_0000005 78.4 86.9 
James_Woods/BrJkp6rQHME_0000006 103.8 119.0 
James_Woods/BrJkp6rQHME_0000007 119.8 125.6 
James_Woods/BrJkp6rQHME_0000008 127.6 131.8 
James_Woods/BrJkp6rQHME_0000009 132.6 141.9 
James_Woods/BrJkp6rQHME_0000010 152.9 161.0 
James_Woods/BrJkp6rQHME_0000011 166.3 176.2 
James_Woods/BrJkp6rQHME_0000012 171.4 180.4 
James_Woods/BrJkp6rQHME_0000013 182.6 186.8 
James_Woods/BrJkp6rQHME_0000014 193.6 203.9 
James_Woods/BrJkp6rQHME_0000015 207.6 215.0 
James_Woods/BrJkp6rQHME_0000016 222.6 232.7 
James_Woods/BrJkp6rQHME_0000017 250.0 260.0 
James_Woods/BrJkp6rQHME_0000018 287.0 294.8 
James_Woods/BrJkp6rQHME_0000019 296.0 318.5 
James_Woods/BrJkp6rQHME_0000020 319.4 325.5 
James_Woods/BrJkp6rQHME_0000021 330.8 338.0 
James_Woods/BrJkp6rQHME_0000022 349.2 353.9 
James_Woods/BrJkp6rQHME_0000023 354.6 365.6 
James_Woods/BrJkp6rQHME_0000024 372.8 376.8 
James_Woods/BrJkp6rQHME_0000025 387.8 404.3 
James_Woods/BrJkp6rQHME_0000026 447.2 455.0 
James_Woods/BrJkp6rQHME_0000027 483.5 489.6 
James_Woods/BrJkp6rQHME_0000028 501.4 509.3 
James_Woods/BrJkp6rQHME_0000029 510.3 514.5 
James_Woods/BrJkp6rQHME_0000030 516.7 522.0 
James_Woods/BrJkp6rQHME_0000031 522.1 529.8 
James_Woods/BrJkp6rQHME_0000032 531.7 536.5 
James_Woods/BrJkp6rQHME_0000033 546.4 555.6 
James_Woods/BrJkp6rQHME_0000034 573.0 578.8 
James_Woods/BrJkp6rQHME_0000035 579.6 593.6 
James_Woods/BrJkp6rQHME_0000036 599.1 609.3 
James_Woods/BrJkp6rQHME_0000037 641.3 645.4 
James_Woods/BrJkp6rQHME_0000038 656.5 665.7 
James_Woods/BrJkp6rQHME_0000039 666.3 671.4 
James_Woods/BrJkp6rQHME_0000040 680.3 690.4 
James_Woods/BrJkp6rQHME_0000041 717.2 724.0 
James_Woods/BrJkp6rQHME_0000042 724.2 728.3 
James_Woods/BrJkp6rQHME_0000043 729.3 735.9 
James_Woods/BrJkp6rQHME_0000044 732.4 744.3 
James_Woods/BrJkp6rQHME_0000045 752.8 766.1 
James_Woods/BrJkp6rQHME_0000046 776.4 784.8 
