POI: 			Charles_Dance 
Youtube ID: 	Sc6PCWA1kI0 
Video length: 	384.2 sec 
Set (V): 		dev 
 
Charles_Dance/Sc6PCWA1kI0_0000001 21.2 26.9 
Charles_Dance/Sc6PCWA1kI0_0000002 27.3 31.3 
Charles_Dance/Sc6PCWA1kI0_0000003 32.5 42.0 
Charles_Dance/Sc6PCWA1kI0_0000004 44.2 49.9 
Charles_Dance/Sc6PCWA1kI0_0000005 76.6 82.6 
Charles_Dance/Sc6PCWA1kI0_0000006 161.6 171.4 
Charles_Dance/Sc6PCWA1kI0_0000007 181.3 187.4 
Charles_Dance/Sc6PCWA1kI0_0000008 203.8 212.9 
Charles_Dance/Sc6PCWA1kI0_0000009 215.9 226.1 
Charles_Dance/Sc6PCWA1kI0_0000010 235.8 240.5 
Charles_Dance/Sc6PCWA1kI0_0000011 241.0 251.8 
Charles_Dance/Sc6PCWA1kI0_0000012 254.2 266.8 
Charles_Dance/Sc6PCWA1kI0_0000013 285.5 290.3 
Charles_Dance/Sc6PCWA1kI0_0000014 291.1 308.5 
Charles_Dance/Sc6PCWA1kI0_0000015 320.7 327.9 
Charles_Dance/Sc6PCWA1kI0_0000016 328.8 340.0 
Charles_Dance/Sc6PCWA1kI0_0000017 354.9 366.0 
Charles_Dance/Sc6PCWA1kI0_0000018 373.7 378.7 
