POI: 			Harry_Shum_Jr. 
Youtube ID: 	oTbZXWMTGhs 
Video length: 	2020.5 sec 
Set (V): 		dev 
 
Harry_Shum_Jr./oTbZXWMTGhs_0000001 279.3 292.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000002 313.5 321.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000003 321.6 326.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000004 329.6 346.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000005 348.4 354.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000006 357.4 375.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000007 396.7 401.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000008 402.0 419.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000009 443.2 470.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000010 499.7 504.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000011 507.7 511.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000012 523.0 530.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000013 544.3 550.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000014 553.0 558.3 
Harry_Shum_Jr./oTbZXWMTGhs_0000015 586.1 595.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000016 640.1 648.1 
Harry_Shum_Jr./oTbZXWMTGhs_0000017 648.8 655.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000018 656.5 665.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000019 671.3 693.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000020 693.8 698.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000021 708.2 717.1 
Harry_Shum_Jr./oTbZXWMTGhs_0000022 752.4 759.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000023 804.8 810.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000024 810.5 840.3 
Harry_Shum_Jr./oTbZXWMTGhs_0000025 841.0 857.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000026 857.1 861.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000027 894.5 917.1 
Harry_Shum_Jr./oTbZXWMTGhs_0000028 938.3 945.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000029 946.5 978.1 
Harry_Shum_Jr./oTbZXWMTGhs_0000030 988.3 998.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000031 1013.0 1032.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000032 1043.2 1054.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000033 1069.4 1077.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000034 1112.5 1119.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000035 1124.8 1129.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000036 1130.7 1142.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000037 1147.0 1152.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000038 1162.8 1167.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000039 1167.5 1174.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000040 1183.6 1188.5 
Harry_Shum_Jr./oTbZXWMTGhs_0000041 1188.9 1196.3 
Harry_Shum_Jr./oTbZXWMTGhs_0000042 1204.4 1214.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000043 1232.4 1255.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000044 1274.4 1278.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000045 1287.5 1296.5 
Harry_Shum_Jr./oTbZXWMTGhs_0000046 1331.8 1338.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000047 1338.6 1345.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000048 1346.0 1362.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000049 1365.6 1376.3 
Harry_Shum_Jr./oTbZXWMTGhs_0000050 1378.1 1388.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000051 1422.0 1427.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000052 1428.6 1435.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000053 1436.8 1452.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000054 1454.5 1468.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000055 1470.2 1475.5 
Harry_Shum_Jr./oTbZXWMTGhs_0000056 1492.7 1504.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000057 1509.8 1516.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000058 1517.0 1521.0 
Harry_Shum_Jr./oTbZXWMTGhs_0000059 1522.2 1528.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000060 1534.8 1539.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000061 1571.8 1589.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000062 1593.7 1611.7 
Harry_Shum_Jr./oTbZXWMTGhs_0000063 1612.7 1620.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000064 1621.5 1632.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000065 1633.5 1638.5 
Harry_Shum_Jr./oTbZXWMTGhs_0000066 1664.9 1671.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000067 1672.4 1678.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000068 1679.4 1705.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000069 1706.1 1715.6 
Harry_Shum_Jr./oTbZXWMTGhs_0000070 1720.3 1725.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000071 1727.9 1762.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000072 1784.8 1793.4 
Harry_Shum_Jr./oTbZXWMTGhs_0000073 1795.4 1800.1 
Harry_Shum_Jr./oTbZXWMTGhs_0000074 1801.0 1824.3 
Harry_Shum_Jr./oTbZXWMTGhs_0000075 1825.8 1844.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000076 1847.0 1853.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000077 1857.6 1868.8 
Harry_Shum_Jr./oTbZXWMTGhs_0000078 1869.8 1874.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000079 1875.0 1881.2 
Harry_Shum_Jr./oTbZXWMTGhs_0000080 1902.5 1909.9 
Harry_Shum_Jr./oTbZXWMTGhs_0000081 1924.9 1940.7 
