POI: 			Brit_Marling 
Youtube ID: 	3FIiSPMPF1Y 
Video length: 	1081.5 sec 
Set (V): 		dev 
 
Brit_Marling/3FIiSPMPF1Y_0000001 23.9 27.9 
Brit_Marling/3FIiSPMPF1Y_0000002 30.0 34.0 
Brit_Marling/3FIiSPMPF1Y_0000003 36.4 40.5 
Brit_Marling/3FIiSPMPF1Y_0000004 49.2 53.6 
Brit_Marling/3FIiSPMPF1Y_0000005 69.5 77.6 
Brit_Marling/3FIiSPMPF1Y_0000006 98.1 106.3 
Brit_Marling/3FIiSPMPF1Y_0000007 109.2 113.4 
Brit_Marling/3FIiSPMPF1Y_0000008 113.7 117.8 
Brit_Marling/3FIiSPMPF1Y_0000009 145.3 149.6 
Brit_Marling/3FIiSPMPF1Y_0000010 190.5 195.3 
Brit_Marling/3FIiSPMPF1Y_0000011 214.4 222.4 
Brit_Marling/3FIiSPMPF1Y_0000012 225.8 230.0 
Brit_Marling/3FIiSPMPF1Y_0000013 234.3 240.4 
Brit_Marling/3FIiSPMPF1Y_0000014 244.9 250.9 
Brit_Marling/3FIiSPMPF1Y_0000015 326.4 334.6 
Brit_Marling/3FIiSPMPF1Y_0000016 335.2 340.0 
Brit_Marling/3FIiSPMPF1Y_0000017 374.9 384.6 
Brit_Marling/3FIiSPMPF1Y_0000018 412.4 416.5 
Brit_Marling/3FIiSPMPF1Y_0000019 436.9 444.3 
Brit_Marling/3FIiSPMPF1Y_0000020 474.4 480.8 
Brit_Marling/3FIiSPMPF1Y_0000021 498.4 504.0 
Brit_Marling/3FIiSPMPF1Y_0000022 507.2 516.1 
Brit_Marling/3FIiSPMPF1Y_0000023 518.3 524.8 
Brit_Marling/3FIiSPMPF1Y_0000024 541.8 547.0 
Brit_Marling/3FIiSPMPF1Y_0000025 618.8 625.7 
Brit_Marling/3FIiSPMPF1Y_0000026 630.6 635.0 
Brit_Marling/3FIiSPMPF1Y_0000027 644.2 656.7 
Brit_Marling/3FIiSPMPF1Y_0000028 661.6 670.6 
Brit_Marling/3FIiSPMPF1Y_0000029 676.7 681.8 
Brit_Marling/3FIiSPMPF1Y_0000030 682.7 686.8 
Brit_Marling/3FIiSPMPF1Y_0000031 690.6 695.6 
Brit_Marling/3FIiSPMPF1Y_0000032 696.4 702.8 
Brit_Marling/3FIiSPMPF1Y_0000033 741.2 747.0 
Brit_Marling/3FIiSPMPF1Y_0000034 748.4 757.6 
Brit_Marling/3FIiSPMPF1Y_0000035 834.3 838.8 
Brit_Marling/3FIiSPMPF1Y_0000036 851.2 864.2 
Brit_Marling/3FIiSPMPF1Y_0000037 915.6 920.8 
Brit_Marling/3FIiSPMPF1Y_0000038 979.7 984.8 
Brit_Marling/3FIiSPMPF1Y_0000039 1001.5 1006.0 
