POI: 			Roger_Ebert 
Youtube ID: 	iC3frQUkwfw 
Video length: 	1029.4 sec 
Set (V): 		dev 
 
Roger_Ebert/iC3frQUkwfw_0000001 07.2 21.2 
Roger_Ebert/iC3frQUkwfw_0000002 22.4 31.2 
Roger_Ebert/iC3frQUkwfw_0000003 32.9 38.2 
Roger_Ebert/iC3frQUkwfw_0000004 55.7 71.1 
Roger_Ebert/iC3frQUkwfw_0000005 77.8 82.8 
Roger_Ebert/iC3frQUkwfw_0000006 90.3 95.6 
Roger_Ebert/iC3frQUkwfw_0000007 96.6 103.0 
Roger_Ebert/iC3frQUkwfw_0000008 119.1 133.3 
Roger_Ebert/iC3frQUkwfw_0000009 134.2 141.6 
Roger_Ebert/iC3frQUkwfw_0000010 142.4 169.2 
Roger_Ebert/iC3frQUkwfw_0000011 174.0 188.2 
Roger_Ebert/iC3frQUkwfw_0000012 191.4 196.3 
Roger_Ebert/iC3frQUkwfw_0000013 196.9 203.0 
Roger_Ebert/iC3frQUkwfw_0000014 216.6 222.9 
Roger_Ebert/iC3frQUkwfw_0000015 223.3 227.5 
Roger_Ebert/iC3frQUkwfw_0000016 228.2 232.2 
Roger_Ebert/iC3frQUkwfw_0000017 233.1 248.6 
Roger_Ebert/iC3frQUkwfw_0000018 250.0 255.9 
Roger_Ebert/iC3frQUkwfw_0000019 258.5 262.9 
Roger_Ebert/iC3frQUkwfw_0000020 266.0 306.2 
Roger_Ebert/iC3frQUkwfw_0000021 317.2 333.4 
Roger_Ebert/iC3frQUkwfw_0000022 338.8 347.7 
Roger_Ebert/iC3frQUkwfw_0000023 358.6 363.8 
Roger_Ebert/iC3frQUkwfw_0000024 377.6 383.6 
Roger_Ebert/iC3frQUkwfw_0000025 397.8 402.3 
Roger_Ebert/iC3frQUkwfw_0000026 402.6 409.8 
Roger_Ebert/iC3frQUkwfw_0000027 415.4 422.6 
Roger_Ebert/iC3frQUkwfw_0000028 444.8 449.7 
Roger_Ebert/iC3frQUkwfw_0000029 326.8 349.5 
Roger_Ebert/iC3frQUkwfw_0000030 358.8 363.7 
Roger_Ebert/iC3frQUkwfw_0000031 369.0 373.6 
Roger_Ebert/iC3frQUkwfw_0000032 377.6 383.6 
Roger_Ebert/iC3frQUkwfw_0000033 397.8 414.8 
Roger_Ebert/iC3frQUkwfw_0000034 415.2 422.6 
Roger_Ebert/iC3frQUkwfw_0000035 458.4 471.3 
Roger_Ebert/iC3frQUkwfw_0000036 472.2 517.9 
Roger_Ebert/iC3frQUkwfw_0000037 526.8 539.6 
Roger_Ebert/iC3frQUkwfw_0000038 472.4 485.4 
Roger_Ebert/iC3frQUkwfw_0000039 541.2 553.0 
Roger_Ebert/iC3frQUkwfw_0000040 566.2 571.1 
Roger_Ebert/iC3frQUkwfw_0000041 571.9 588.6 
Roger_Ebert/iC3frQUkwfw_0000042 589.8 599.9 
Roger_Ebert/iC3frQUkwfw_0000043 604.3 615.4 
Roger_Ebert/iC3frQUkwfw_0000044 626.2 650.4 
Roger_Ebert/iC3frQUkwfw_0000045 663.4 678.2 
Roger_Ebert/iC3frQUkwfw_0000046 688.4 700.0 
Roger_Ebert/iC3frQUkwfw_0000047 713.8 722.8 
Roger_Ebert/iC3frQUkwfw_0000048 723.6 757.5 
Roger_Ebert/iC3frQUkwfw_0000049 760.1 769.6 
Roger_Ebert/iC3frQUkwfw_0000050 774.0 783.4 
Roger_Ebert/iC3frQUkwfw_0000051 794.8 808.8 
Roger_Ebert/iC3frQUkwfw_0000052 809.6 824.6 
Roger_Ebert/iC3frQUkwfw_0000053 827.6 850.9 
Roger_Ebert/iC3frQUkwfw_0000054 856.8 863.4 
Roger_Ebert/iC3frQUkwfw_0000055 875.7 887.0 
Roger_Ebert/iC3frQUkwfw_0000056 892.2 900.8 
Roger_Ebert/iC3frQUkwfw_0000057 907.4 912.3 
Roger_Ebert/iC3frQUkwfw_0000058 912.7 918.8 
Roger_Ebert/iC3frQUkwfw_0000059 875.7 887.1 
Roger_Ebert/iC3frQUkwfw_0000060 942.2 976.6 
Roger_Ebert/iC3frQUkwfw_0000061 991.2 999.4 
Roger_Ebert/iC3frQUkwfw_0000062 1000.2 1004.8 
Roger_Ebert/iC3frQUkwfw_0000063 1006.9 1023.2 
