POI: 			Roger_Ebert 
Youtube ID: 	EFfIIkfACx8 
Video length: 	1003.5 sec 
Set (V): 		dev 
 
Roger_Ebert/EFfIIkfACx8_0000001 29.5 42.8 
Roger_Ebert/EFfIIkfACx8_0000002 47.6 51.5 
Roger_Ebert/EFfIIkfACx8_0000003 55.2 66.0 
Roger_Ebert/EFfIIkfACx8_0000004 78.4 96.1 
Roger_Ebert/EFfIIkfACx8_0000005 104.0 108.5 
Roger_Ebert/EFfIIkfACx8_0000006 138.4 150.0 
Roger_Ebert/EFfIIkfACx8_0000007 156.0 163.0 
Roger_Ebert/EFfIIkfACx8_0000008 164.2 171.5 
Roger_Ebert/EFfIIkfACx8_0000009 178.3 190.8 
Roger_Ebert/EFfIIkfACx8_0000010 200.0 205.2 
Roger_Ebert/EFfIIkfACx8_0000011 223.7 232.0 
Roger_Ebert/EFfIIkfACx8_0000012 252.0 258.0 
Roger_Ebert/EFfIIkfACx8_0000013 259.2 265.3 
Roger_Ebert/EFfIIkfACx8_0000014 273.4 279.5 
Roger_Ebert/EFfIIkfACx8_0000015 284.6 289.0 
Roger_Ebert/EFfIIkfACx8_0000016 307.2 326.8 
Roger_Ebert/EFfIIkfACx8_0000017 335.8 347.8 
Roger_Ebert/EFfIIkfACx8_0000018 374.0 378.3 
Roger_Ebert/EFfIIkfACx8_0000019 387.3 398.2 
Roger_Ebert/EFfIIkfACx8_0000020 445.6 451.7 
Roger_Ebert/EFfIIkfACx8_0000021 484.5 491.4 
Roger_Ebert/EFfIIkfACx8_0000022 492.0 505.6 
Roger_Ebert/EFfIIkfACx8_0000023 509.3 547.2 
Roger_Ebert/EFfIIkfACx8_0000024 548.9 559.0 
Roger_Ebert/EFfIIkfACx8_0000025 573.6 578.1 
Roger_Ebert/EFfIIkfACx8_0000026 581.1 585.5 
Roger_Ebert/EFfIIkfACx8_0000027 602.6 609.0 
Roger_Ebert/EFfIIkfACx8_0000028 614.4 618.4 
Roger_Ebert/EFfIIkfACx8_0000029 619.7 625.5 
Roger_Ebert/EFfIIkfACx8_0000030 629.8 653.9 
Roger_Ebert/EFfIIkfACx8_0000031 662.6 667.2 
Roger_Ebert/EFfIIkfACx8_0000032 676.4 681.8 
Roger_Ebert/EFfIIkfACx8_0000033 683.7 693.1 
Roger_Ebert/EFfIIkfACx8_0000034 697.4 709.4 
Roger_Ebert/EFfIIkfACx8_0000035 711.4 718.2 
Roger_Ebert/EFfIIkfACx8_0000036 718.6 723.0 
Roger_Ebert/EFfIIkfACx8_0000037 733.5 737.5 
Roger_Ebert/EFfIIkfACx8_0000038 754.5 759.7 
Roger_Ebert/EFfIIkfACx8_0000039 763.0 769.6 
Roger_Ebert/EFfIIkfACx8_0000040 785.9 795.6 
Roger_Ebert/EFfIIkfACx8_0000041 796.8 804.0 
Roger_Ebert/EFfIIkfACx8_0000042 833.3 840.4 
Roger_Ebert/EFfIIkfACx8_0000043 841.8 846.2 
Roger_Ebert/EFfIIkfACx8_0000044 855.3 859.3 
Roger_Ebert/EFfIIkfACx8_0000045 861.0 874.4 
Roger_Ebert/EFfIIkfACx8_0000046 878.6 898.3 
Roger_Ebert/EFfIIkfACx8_0000047 899.1 919.5 
Roger_Ebert/EFfIIkfACx8_0000048 935.7 942.7 
Roger_Ebert/EFfIIkfACx8_0000049 953.8 964.4 
Roger_Ebert/EFfIIkfACx8_0000050 991.2 996.3 
