POI: 			David_Warner 
Youtube ID: 	mlav4Pv6YC4 
Video length: 	333.9 sec 
Set (V): 		dev 
 
David_Warner/mlav4Pv6YC4_0000001 18.9 29.6 
David_Warner/mlav4Pv6YC4_0000002 35.6 42.6 
David_Warner/mlav4Pv6YC4_0000003 45.8 53.6 
David_Warner/mlav4Pv6YC4_0000004 52.4 57.0 
David_Warner/mlav4Pv6YC4_0000005 63.3 78.0 
David_Warner/mlav4Pv6YC4_0000006 78.5 85.4 
David_Warner/mlav4Pv6YC4_0000007 96.9 102.2 
David_Warner/mlav4Pv6YC4_0000008 104.4 110.8 
David_Warner/mlav4Pv6YC4_0000009 116.4 124.6 
David_Warner/mlav4Pv6YC4_0000010 140.9 145.4 
David_Warner/mlav4Pv6YC4_0000011 156.0 160.9 
David_Warner/mlav4Pv6YC4_0000012 173.4 178.4 
David_Warner/mlav4Pv6YC4_0000013 181.5 188.1 
David_Warner/mlav4Pv6YC4_0000014 194.7 205.4 
David_Warner/mlav4Pv6YC4_0000015 211.8 227.2 
David_Warner/mlav4Pv6YC4_0000016 234.1 240.1 
David_Warner/mlav4Pv6YC4_0000017 240.2 247.4 
David_Warner/mlav4Pv6YC4_0000018 254.0 261.5 
David_Warner/mlav4Pv6YC4_0000019 274.1 281.4 
David_Warner/mlav4Pv6YC4_0000020 295.2 313.4 
David_Warner/mlav4Pv6YC4_0000021 314.2 318.6 
