POI: 			Jason_Bateman 
Youtube ID: 	kiV_l66ceaE 
Video length: 	379.5 sec 
Set (V): 		dev 
 
Jason_Bateman/kiV_l66ceaE_0000001 09.3 13.4 
Jason_Bateman/kiV_l66ceaE_0000002 15.2 28.8 
Jason_Bateman/kiV_l66ceaE_0000003 44.4 58.1 
Jason_Bateman/kiV_l66ceaE_0000004 58.3 62.4 
Jason_Bateman/kiV_l66ceaE_0000005 69.7 73.7 
Jason_Bateman/kiV_l66ceaE_0000006 75.2 81.6 
Jason_Bateman/kiV_l66ceaE_0000007 82.2 87.7 
Jason_Bateman/kiV_l66ceaE_0000008 92.4 96.8 
Jason_Bateman/kiV_l66ceaE_0000009 97.9 110.6 
Jason_Bateman/kiV_l66ceaE_0000010 113.2 117.4 
Jason_Bateman/kiV_l66ceaE_0000011 128.2 134.6 
Jason_Bateman/kiV_l66ceaE_0000012 142.4 156.3 
Jason_Bateman/kiV_l66ceaE_0000013 160.0 164.2 
Jason_Bateman/kiV_l66ceaE_0000014 164.9 169.9 
Jason_Bateman/kiV_l66ceaE_0000015 186.3 194.6 
Jason_Bateman/kiV_l66ceaE_0000016 195.7 201.3 
Jason_Bateman/kiV_l66ceaE_0000017 201.7 205.8 
Jason_Bateman/kiV_l66ceaE_0000018 216.5 226.7 
Jason_Bateman/kiV_l66ceaE_0000019 226.9 253.6 
Jason_Bateman/kiV_l66ceaE_0000020 258.0 266.6 
Jason_Bateman/kiV_l66ceaE_0000021 273.0 279.6 
Jason_Bateman/kiV_l66ceaE_0000022 284.9 291.7 
Jason_Bateman/kiV_l66ceaE_0000023 292.3 300.1 
Jason_Bateman/kiV_l66ceaE_0000024 307.7 311.9 
Jason_Bateman/kiV_l66ceaE_0000025 314.0 322.0 
Jason_Bateman/kiV_l66ceaE_0000026 326.2 333.8 
Jason_Bateman/kiV_l66ceaE_0000027 334.9 346.9 
Jason_Bateman/kiV_l66ceaE_0000028 352.4 361.8 
Jason_Bateman/kiV_l66ceaE_0000029 367.3 374.1 
