POI: 			David_Attenborough 
Youtube ID: 	9JD776LZPrA 
Video length: 	2486.3 sec 
Set (V): 		dev 
 
David_Attenborough/9JD776LZPrA_0000001 1172.1 1178.0 
David_Attenborough/9JD776LZPrA_0000002 1182.5 1195.0 
David_Attenborough/9JD776LZPrA_0000003 1201.2 1212.6 
David_Attenborough/9JD776LZPrA_0000004 1220.5 1229.9 
David_Attenborough/9JD776LZPrA_0000005 1230.4 1238.2 
David_Attenborough/9JD776LZPrA_0000006 1238.3 1258.0 
David_Attenborough/9JD776LZPrA_0000007 1342.8 1350.6 
David_Attenborough/9JD776LZPrA_0000008 1365.8 1387.6 
David_Attenborough/9JD776LZPrA_0000009 1493.8 1512.3 
David_Attenborough/9JD776LZPrA_0000010 1514.8 1522.1 
David_Attenborough/9JD776LZPrA_0000011 1526.8 1560.1 
David_Attenborough/9JD776LZPrA_0000012 1619.7 1628.2 
David_Attenborough/9JD776LZPrA_0000013 1796.9 1803.0 
David_Attenborough/9JD776LZPrA_0000014 2026.1 2061.6 
David_Attenborough/9JD776LZPrA_0000015 2202.9 2210.0 
David_Attenborough/9JD776LZPrA_0000016 2211.1 2219.3 
David_Attenborough/9JD776LZPrA_0000017 2222.6 2229.6 
David_Attenborough/9JD776LZPrA_0000018 2231.4 2284.9 
David_Attenborough/9JD776LZPrA_0000019 2370.6 2384.7 
David_Attenborough/9JD776LZPrA_0000020 2391.2 2401.4 
David_Attenborough/9JD776LZPrA_0000021 2403.7 2410.5 
David_Attenborough/9JD776LZPrA_0000022 2424.8 2449.8 
David_Attenborough/9JD776LZPrA_0000023 2410.1 2424.6 
David_Attenborough/9JD776LZPrA_0000024 2457.5 2464.0 
