POI: 			David_Attenborough 
Youtube ID: 	V6Ea4g46FBA 
Video length: 	3644.8 sec 
Set (V): 		dev 
 
David_Attenborough/V6Ea4g46FBA_0000001 91.2 96.7 
David_Attenborough/V6Ea4g46FBA_0000002 100.7 109.7 
David_Attenborough/V6Ea4g46FBA_0000003 137.8 142.0 
David_Attenborough/V6Ea4g46FBA_0000004 143.0 151.2 
David_Attenborough/V6Ea4g46FBA_0000005 192.6 204.9 
David_Attenborough/V6Ea4g46FBA_0000006 210.3 216.8 
David_Attenborough/V6Ea4g46FBA_0000007 240.7 244.8 
David_Attenborough/V6Ea4g46FBA_0000008 280.6 285.8 
David_Attenborough/V6Ea4g46FBA_0000009 340.6 347.8 
David_Attenborough/V6Ea4g46FBA_0000010 377.0 386.8 
David_Attenborough/V6Ea4g46FBA_0000011 387.4 392.5 
David_Attenborough/V6Ea4g46FBA_0000012 591.0 595.5 
David_Attenborough/V6Ea4g46FBA_0000013 597.0 605.0 
David_Attenborough/V6Ea4g46FBA_0000014 618.7 623.0 
David_Attenborough/V6Ea4g46FBA_0000015 646.9 651.1 
David_Attenborough/V6Ea4g46FBA_0000016 736.2 741.2 
David_Attenborough/V6Ea4g46FBA_0000017 796.8 802.0 
David_Attenborough/V6Ea4g46FBA_0000018 815.0 827.4 
David_Attenborough/V6Ea4g46FBA_0000019 882.1 887.8 
David_Attenborough/V6Ea4g46FBA_0000020 910.2 920.2 
David_Attenborough/V6Ea4g46FBA_0000021 957.0 961.5 
David_Attenborough/V6Ea4g46FBA_0000022 1036.9 1046.0 
David_Attenborough/V6Ea4g46FBA_0000023 1048.0 1055.0 
David_Attenborough/V6Ea4g46FBA_0000024 1104.9 1109.7 
David_Attenborough/V6Ea4g46FBA_0000025 1114.8 1119.5 
David_Attenborough/V6Ea4g46FBA_0000026 1210.3 1215.5 
David_Attenborough/V6Ea4g46FBA_0000027 1216.6 1220.8 
David_Attenborough/V6Ea4g46FBA_0000028 1282.4 1289.1 
David_Attenborough/V6Ea4g46FBA_0000029 1322.5 1329.0 
David_Attenborough/V6Ea4g46FBA_0000030 1348.6 1358.9 
David_Attenborough/V6Ea4g46FBA_0000031 1361.3 1369.2 
David_Attenborough/V6Ea4g46FBA_0000032 1375.0 1386.7 
David_Attenborough/V6Ea4g46FBA_0000033 1441.4 1445.5 
David_Attenborough/V6Ea4g46FBA_0000034 1506.8 1513.0 
David_Attenborough/V6Ea4g46FBA_0000035 1600.8 1605.4 
David_Attenborough/V6Ea4g46FBA_0000036 1692.8 1698.1 
David_Attenborough/V6Ea4g46FBA_0000037 1712.6 1717.4 
David_Attenborough/V6Ea4g46FBA_0000038 1718.3 1723.9 
David_Attenborough/V6Ea4g46FBA_0000039 1726.5 1733.8 
David_Attenborough/V6Ea4g46FBA_0000040 1754.9 1760.2 
David_Attenborough/V6Ea4g46FBA_0000041 1810.0 1815.8 
David_Attenborough/V6Ea4g46FBA_0000042 1881.6 1892.3 
David_Attenborough/V6Ea4g46FBA_0000043 1895.1 1900.6 
David_Attenborough/V6Ea4g46FBA_0000044 1957.9 1962.2 
David_Attenborough/V6Ea4g46FBA_0000045 1969.2 1976.4 
David_Attenborough/V6Ea4g46FBA_0000046 1992.8 1998.3 
David_Attenborough/V6Ea4g46FBA_0000047 2023.2 2030.8 
David_Attenborough/V6Ea4g46FBA_0000048 2058.5 2063.9 
David_Attenborough/V6Ea4g46FBA_0000049 2228.0 2235.9 
David_Attenborough/V6Ea4g46FBA_0000050 2336.1 2342.5 
David_Attenborough/V6Ea4g46FBA_0000051 2342.7 2348.0 
David_Attenborough/V6Ea4g46FBA_0000052 2360.0 2367.4 
David_Attenborough/V6Ea4g46FBA_0000053 2428.2 2434.0 
David_Attenborough/V6Ea4g46FBA_0000054 2457.8 2469.1 
David_Attenborough/V6Ea4g46FBA_0000055 2471.9 2476.7 
David_Attenborough/V6Ea4g46FBA_0000056 2544.8 2552.4 
David_Attenborough/V6Ea4g46FBA_0000057 2571.3 2575.3 
David_Attenborough/V6Ea4g46FBA_0000058 2595.1 2609.0 
David_Attenborough/V6Ea4g46FBA_0000059 2609.8 2619.7 
David_Attenborough/V6Ea4g46FBA_0000060 2624.1 2628.3 
David_Attenborough/V6Ea4g46FBA_0000061 2750.5 2755.6 
David_Attenborough/V6Ea4g46FBA_0000062 2757.8 2761.9 
David_Attenborough/V6Ea4g46FBA_0000063 2772.0 2778.0 
David_Attenborough/V6Ea4g46FBA_0000064 2807.2 2814.0 
David_Attenborough/V6Ea4g46FBA_0000065 2816.3 2821.9 
David_Attenborough/V6Ea4g46FBA_0000066 2965.8 2970.9 
David_Attenborough/V6Ea4g46FBA_0000067 3144.2 3151.4 
David_Attenborough/V6Ea4g46FBA_0000068 3152.0 3157.4 
David_Attenborough/V6Ea4g46FBA_0000069 3273.8 3280.9 
David_Attenborough/V6Ea4g46FBA_0000070 3304.1 3308.3 
David_Attenborough/V6Ea4g46FBA_0000071 3371.5 3376.3 
