POI: 			David_Attenborough 
Youtube ID: 	0HJtWUCKNWQ 
Video length: 	1399.8 sec 
Set (V): 		dev 
 
David_Attenborough/0HJtWUCKNWQ_0000001 01.6 15.4 
David_Attenborough/0HJtWUCKNWQ_0000002 23.5 28.8 
David_Attenborough/0HJtWUCKNWQ_0000003 39.4 45.8 
David_Attenborough/0HJtWUCKNWQ_0000004 45.9 50.0 
David_Attenborough/0HJtWUCKNWQ_0000005 50.8 54.8 
David_Attenborough/0HJtWUCKNWQ_0000006 55.6 66.3 
David_Attenborough/0HJtWUCKNWQ_0000007 64.4 73.0 
David_Attenborough/0HJtWUCKNWQ_0000008 85.0 92.5 
David_Attenborough/0HJtWUCKNWQ_0000009 107.6 112.1 
David_Attenborough/0HJtWUCKNWQ_0000010 113.2 134.4 
David_Attenborough/0HJtWUCKNWQ_0000011 137.7 143.3 
David_Attenborough/0HJtWUCKNWQ_0000012 144.6 148.8 
David_Attenborough/0HJtWUCKNWQ_0000013 159.4 168.1 
David_Attenborough/0HJtWUCKNWQ_0000014 237.6 241.7 
David_Attenborough/0HJtWUCKNWQ_0000015 255.0 266.8 
David_Attenborough/0HJtWUCKNWQ_0000016 267.4 271.4 
David_Attenborough/0HJtWUCKNWQ_0000017 272.4 277.5 
David_Attenborough/0HJtWUCKNWQ_0000018 266.6 275.4 
David_Attenborough/0HJtWUCKNWQ_0000019 286.7 297.7 
David_Attenborough/0HJtWUCKNWQ_0000020 329.8 340.9 
David_Attenborough/0HJtWUCKNWQ_0000021 344.8 367.7 
David_Attenborough/0HJtWUCKNWQ_0000022 379.6 384.1 
David_Attenborough/0HJtWUCKNWQ_0000023 385.5 392.6 
David_Attenborough/0HJtWUCKNWQ_0000024 417.4 424.7 
David_Attenborough/0HJtWUCKNWQ_0000025 432.7 442.7 
David_Attenborough/0HJtWUCKNWQ_0000026 443.6 451.0 
David_Attenborough/0HJtWUCKNWQ_0000027 453.2 461.8 
David_Attenborough/0HJtWUCKNWQ_0000028 466.7 473.8 
David_Attenborough/0HJtWUCKNWQ_0000029 477.0 482.8 
David_Attenborough/0HJtWUCKNWQ_0000030 495.8 500.7 
David_Attenborough/0HJtWUCKNWQ_0000031 517.8 526.2 
David_Attenborough/0HJtWUCKNWQ_0000032 530.3 534.6 
David_Attenborough/0HJtWUCKNWQ_0000033 535.0 540.9 
David_Attenborough/0HJtWUCKNWQ_0000034 544.0 550.3 
David_Attenborough/0HJtWUCKNWQ_0000035 557.5 566.0 
David_Attenborough/0HJtWUCKNWQ_0000036 567.3 572.5 
David_Attenborough/0HJtWUCKNWQ_0000037 591.0 595.4 
David_Attenborough/0HJtWUCKNWQ_0000038 597.2 608.2 
David_Attenborough/0HJtWUCKNWQ_0000039 617.0 628.2 
David_Attenborough/0HJtWUCKNWQ_0000040 639.8 649.4 
David_Attenborough/0HJtWUCKNWQ_0000041 679.2 693.0 
David_Attenborough/0HJtWUCKNWQ_0000042 708.2 716.2 
David_Attenborough/0HJtWUCKNWQ_0000043 728.7 736.4 
David_Attenborough/0HJtWUCKNWQ_0000044 736.9 750.9 
David_Attenborough/0HJtWUCKNWQ_0000045 752.9 759.8 
David_Attenborough/0HJtWUCKNWQ_0000046 765.8 772.6 
David_Attenborough/0HJtWUCKNWQ_0000047 772.8 778.6 
David_Attenborough/0HJtWUCKNWQ_0000048 783.3 800.6 
David_Attenborough/0HJtWUCKNWQ_0000049 806.3 811.4 
David_Attenborough/0HJtWUCKNWQ_0000050 840.2 845.6 
David_Attenborough/0HJtWUCKNWQ_0000051 855.5 865.9 
David_Attenborough/0HJtWUCKNWQ_0000052 866.8 878.5 
David_Attenborough/0HJtWUCKNWQ_0000053 899.9 908.6 
David_Attenborough/0HJtWUCKNWQ_0000054 917.0 926.2 
David_Attenborough/0HJtWUCKNWQ_0000055 955.2 967.5 
David_Attenborough/0HJtWUCKNWQ_0000056 991.2 998.9 
David_Attenborough/0HJtWUCKNWQ_0000057 1013.8 1019.7 
David_Attenborough/0HJtWUCKNWQ_0000058 1043.2 1057.5 
David_Attenborough/0HJtWUCKNWQ_0000059 1063.2 1067.2 
David_Attenborough/0HJtWUCKNWQ_0000060 1069.4 1073.7 
David_Attenborough/0HJtWUCKNWQ_0000061 1080.8 1091.4 
David_Attenborough/0HJtWUCKNWQ_0000062 1093.7 1099.3 
David_Attenborough/0HJtWUCKNWQ_0000063 1105.5 1112.6 
David_Attenborough/0HJtWUCKNWQ_0000064 1113.4 1119.0 
David_Attenborough/0HJtWUCKNWQ_0000065 1129.2 1151.0 
David_Attenborough/0HJtWUCKNWQ_0000066 1158.0 1171.0 
David_Attenborough/0HJtWUCKNWQ_0000067 1175.1 1179.6 
David_Attenborough/0HJtWUCKNWQ_0000068 1181.8 1187.6 
David_Attenborough/0HJtWUCKNWQ_0000069 1187.8 1195.2 
David_Attenborough/0HJtWUCKNWQ_0000070 1208.9 1217.7 
David_Attenborough/0HJtWUCKNWQ_0000071 1232.2 1236.2 
David_Attenborough/0HJtWUCKNWQ_0000072 1236.9 1249.4 
David_Attenborough/0HJtWUCKNWQ_0000073 1255.2 1259.9 
David_Attenborough/0HJtWUCKNWQ_0000074 1261.3 1266.4 
David_Attenborough/0HJtWUCKNWQ_0000075 1271.2 1275.9 
David_Attenborough/0HJtWUCKNWQ_0000076 1281.1 1286.4 
David_Attenborough/0HJtWUCKNWQ_0000077 1293.2 1305.4 
David_Attenborough/0HJtWUCKNWQ_0000078 1330.4 1335.2 
David_Attenborough/0HJtWUCKNWQ_0000079 1359.1 1370.2 
David_Attenborough/0HJtWUCKNWQ_0000080 1370.6 1379.1 
