POI: 			Jeremy_Irvine 
Youtube ID: 	6byKEzGyVfM 
Video length: 	345.7 sec 
Set (V): 		dev 
 
Jeremy_Irvine/6byKEzGyVfM_0000001 31.2 37.5 
Jeremy_Irvine/6byKEzGyVfM_0000002 38.0 47.1 
Jeremy_Irvine/6byKEzGyVfM_0000003 56.3 63.3 
Jeremy_Irvine/6byKEzGyVfM_0000004 85.0 98.2 
Jeremy_Irvine/6byKEzGyVfM_0000005 100.2 104.5 
Jeremy_Irvine/6byKEzGyVfM_0000006 105.2 109.1 
Jeremy_Irvine/6byKEzGyVfM_0000007 109.2 116.8 
Jeremy_Irvine/6byKEzGyVfM_0000008 120.1 125.2 
Jeremy_Irvine/6byKEzGyVfM_0000009 147.1 157.8 
Jeremy_Irvine/6byKEzGyVfM_0000010 158.7 164.0 
Jeremy_Irvine/6byKEzGyVfM_0000011 177.1 183.1 
Jeremy_Irvine/6byKEzGyVfM_0000012 208.2 215.2 
Jeremy_Irvine/6byKEzGyVfM_0000013 230.4 235.4 
Jeremy_Irvine/6byKEzGyVfM_0000014 277.8 286.4 
Jeremy_Irvine/6byKEzGyVfM_0000015 297.1 301.5 
Jeremy_Irvine/6byKEzGyVfM_0000016 316.1 323.1 
Jeremy_Irvine/6byKEzGyVfM_0000017 323.4 328.3 
