POI: 			David_Faustino 
Youtube ID: 	QSCFgv9JV7U 
Video length: 	908.0 sec 
Set (V): 		dev 
 
David_Faustino/QSCFgv9JV7U_0000001 58.2 63.7 
David_Faustino/QSCFgv9JV7U_0000002 65.6 69.7 
David_Faustino/QSCFgv9JV7U_0000003 73.8 81.4 
David_Faustino/QSCFgv9JV7U_0000004 81.8 88.6 
David_Faustino/QSCFgv9JV7U_0000005 89.6 95.7 
David_Faustino/QSCFgv9JV7U_0000006 96.6 108.6 
David_Faustino/QSCFgv9JV7U_0000007 119.3 127.0 
David_Faustino/QSCFgv9JV7U_0000008 138.8 142.7 
David_Faustino/QSCFgv9JV7U_0000009 146.8 150.8 
David_Faustino/QSCFgv9JV7U_0000010 153.5 160.2 
David_Faustino/QSCFgv9JV7U_0000011 168.1 173.4 
David_Faustino/QSCFgv9JV7U_0000012 176.4 198.3 
David_Faustino/QSCFgv9JV7U_0000013 205.8 214.6 
David_Faustino/QSCFgv9JV7U_0000014 247.1 260.9 
David_Faustino/QSCFgv9JV7U_0000015 262.4 266.4 
David_Faustino/QSCFgv9JV7U_0000016 266.7 278.9 
David_Faustino/QSCFgv9JV7U_0000017 297.0 303.8 
David_Faustino/QSCFgv9JV7U_0000018 304.5 310.9 
David_Faustino/QSCFgv9JV7U_0000019 311.1 317.7 
David_Faustino/QSCFgv9JV7U_0000020 329.4 336.2 
David_Faustino/QSCFgv9JV7U_0000021 342.8 349.0 
David_Faustino/QSCFgv9JV7U_0000022 349.5 355.1 
David_Faustino/QSCFgv9JV7U_0000023 357.4 362.9 
David_Faustino/QSCFgv9JV7U_0000024 363.1 370.5 
David_Faustino/QSCFgv9JV7U_0000025 371.6 386.0 
David_Faustino/QSCFgv9JV7U_0000026 389.8 399.5 
David_Faustino/QSCFgv9JV7U_0000027 401.0 419.8 
David_Faustino/QSCFgv9JV7U_0000028 430.0 434.9 
David_Faustino/QSCFgv9JV7U_0000029 388.6 394.4 
David_Faustino/QSCFgv9JV7U_0000030 483.8 489.9 
David_Faustino/QSCFgv9JV7U_0000031 521.4 529.0 
David_Faustino/QSCFgv9JV7U_0000032 538.3 546.5 
David_Faustino/QSCFgv9JV7U_0000033 547.3 553.4 
David_Faustino/QSCFgv9JV7U_0000034 583.4 589.1 
David_Faustino/QSCFgv9JV7U_0000035 589.2 600.2 
David_Faustino/QSCFgv9JV7U_0000036 605.6 614.6 
David_Faustino/QSCFgv9JV7U_0000037 662.2 668.8 
David_Faustino/QSCFgv9JV7U_0000038 702.6 711.0 
David_Faustino/QSCFgv9JV7U_0000039 718.5 728.3 
David_Faustino/QSCFgv9JV7U_0000040 754.6 760.6 
David_Faustino/QSCFgv9JV7U_0000041 763.8 767.9 
David_Faustino/QSCFgv9JV7U_0000042 774.2 796.3 
David_Faustino/QSCFgv9JV7U_0000043 856.2 870.2 
David_Faustino/QSCFgv9JV7U_0000044 896.0 903.6 
