POI: 			Will_Poulter 
Youtube ID: 	ADLO9eWGUIY 
Video length: 	500.1 sec 
Set (V): 		dev 
 
Will_Poulter/ADLO9eWGUIY_0000001 19.0 43.5 
Will_Poulter/ADLO9eWGUIY_0000002 59.4 64.8 
Will_Poulter/ADLO9eWGUIY_0000003 71.1 78.0 
Will_Poulter/ADLO9eWGUIY_0000004 78.8 88.8 
Will_Poulter/ADLO9eWGUIY_0000005 90.9 95.1 
Will_Poulter/ADLO9eWGUIY_0000006 96.0 103.0 
Will_Poulter/ADLO9eWGUIY_0000007 115.3 120.8 
Will_Poulter/ADLO9eWGUIY_0000008 124.5 149.9 
Will_Poulter/ADLO9eWGUIY_0000009 163.2 173.0 
Will_Poulter/ADLO9eWGUIY_0000010 173.6 184.0 
Will_Poulter/ADLO9eWGUIY_0000011 194.6 200.2 
Will_Poulter/ADLO9eWGUIY_0000012 201.0 212.8 
Will_Poulter/ADLO9eWGUIY_0000013 209.3 214.0 
Will_Poulter/ADLO9eWGUIY_0000014 222.4 236.3 
Will_Poulter/ADLO9eWGUIY_0000015 238.4 256.0 
Will_Poulter/ADLO9eWGUIY_0000016 267.6 273.2 
Will_Poulter/ADLO9eWGUIY_0000017 283.1 288.8 
Will_Poulter/ADLO9eWGUIY_0000018 295.1 299.8 
Will_Poulter/ADLO9eWGUIY_0000019 300.4 311.3 
Will_Poulter/ADLO9eWGUIY_0000020 325.1 330.9 
Will_Poulter/ADLO9eWGUIY_0000021 331.4 337.2 
Will_Poulter/ADLO9eWGUIY_0000022 339.9 346.2 
Will_Poulter/ADLO9eWGUIY_0000023 352.6 363.6 
Will_Poulter/ADLO9eWGUIY_0000024 384.5 392.3 
Will_Poulter/ADLO9eWGUIY_0000025 397.1 408.4 
Will_Poulter/ADLO9eWGUIY_0000026 410.6 425.4 
Will_Poulter/ADLO9eWGUIY_0000027 444.3 456.1 
Will_Poulter/ADLO9eWGUIY_0000028 462.9 473.5 
Will_Poulter/ADLO9eWGUIY_0000029 475.5 480.3 
