POI: 			Bill_Pullman 
Youtube ID: 	GtAHVLPqHLc 
Video length: 	1600.8 sec 
Set (V): 		dev 
 
Bill_Pullman/GtAHVLPqHLc_0000001 144.6 149.9 
Bill_Pullman/GtAHVLPqHLc_0000002 159.2 173.7 
Bill_Pullman/GtAHVLPqHLc_0000003 189.0 194.0 
Bill_Pullman/GtAHVLPqHLc_0000004 208.4 216.5 
Bill_Pullman/GtAHVLPqHLc_0000005 238.9 244.2 
Bill_Pullman/GtAHVLPqHLc_0000006 244.9 251.6 
Bill_Pullman/GtAHVLPqHLc_0000007 519.4 527.1 
Bill_Pullman/GtAHVLPqHLc_0000008 528.1 532.3 
Bill_Pullman/GtAHVLPqHLc_0000009 541.6 560.9 
Bill_Pullman/GtAHVLPqHLc_0000010 720.4 725.0 
Bill_Pullman/GtAHVLPqHLc_0000011 794.6 799.0 
Bill_Pullman/GtAHVLPqHLc_0000012 921.7 929.7 
Bill_Pullman/GtAHVLPqHLc_0000013 932.7 944.0 
Bill_Pullman/GtAHVLPqHLc_0000014 1048.8 1054.0 
Bill_Pullman/GtAHVLPqHLc_0000015 1068.3 1075.4 
Bill_Pullman/GtAHVLPqHLc_0000016 1078.0 1085.0 
Bill_Pullman/GtAHVLPqHLc_0000017 1085.7 1090.2 
Bill_Pullman/GtAHVLPqHLc_0000018 1375.9 1387.9 
Bill_Pullman/GtAHVLPqHLc_0000019 1489.1 1497.2 
Bill_Pullman/GtAHVLPqHLc_0000020 1519.6 1525.0 
Bill_Pullman/GtAHVLPqHLc_0000021 1525.8 1532.3 
