POI: 			S._Epatha_Merkerson 
Youtube ID: 	KogD-VZitXI 
Video length: 	1646.3 sec 
Set (V): 		dev 
 
S._Epatha_Merkerson/KogD-VZitXI_0000001 82.3 92.4 
S._Epatha_Merkerson/KogD-VZitXI_0000002 102.6 109.1 
S._Epatha_Merkerson/KogD-VZitXI_0000003 133.5 142.7 
S._Epatha_Merkerson/KogD-VZitXI_0000004 143.6 171.1 
S._Epatha_Merkerson/KogD-VZitXI_0000005 202.7 206.9 
S._Epatha_Merkerson/KogD-VZitXI_0000006 249.4 253.7 
S._Epatha_Merkerson/KogD-VZitXI_0000007 291.1 297.2 
S._Epatha_Merkerson/KogD-VZitXI_0000008 297.8 301.7 
S._Epatha_Merkerson/KogD-VZitXI_0000009 304.5 311.1 
S._Epatha_Merkerson/KogD-VZitXI_0000010 315.1 324.2 
S._Epatha_Merkerson/KogD-VZitXI_0000011 325.1 330.9 
S._Epatha_Merkerson/KogD-VZitXI_0000012 360.4 370.0 
S._Epatha_Merkerson/KogD-VZitXI_0000013 394.4 400.0 
S._Epatha_Merkerson/KogD-VZitXI_0000014 427.1 431.2 
S._Epatha_Merkerson/KogD-VZitXI_0000015 454.2 472.9 
S._Epatha_Merkerson/KogD-VZitXI_0000016 481.9 487.1 
S._Epatha_Merkerson/KogD-VZitXI_0000017 532.3 539.8 
S._Epatha_Merkerson/KogD-VZitXI_0000018 546.6 550.6 
S._Epatha_Merkerson/KogD-VZitXI_0000019 575.1 582.4 
S._Epatha_Merkerson/KogD-VZitXI_0000020 588.0 595.6 
S._Epatha_Merkerson/KogD-VZitXI_0000021 598.6 604.2 
S._Epatha_Merkerson/KogD-VZitXI_0000022 647.4 652.6 
S._Epatha_Merkerson/KogD-VZitXI_0000023 653.4 660.6 
S._Epatha_Merkerson/KogD-VZitXI_0000024 660.9 670.4 
S._Epatha_Merkerson/KogD-VZitXI_0000025 711.2 717.6 
S._Epatha_Merkerson/KogD-VZitXI_0000026 718.8 727.5 
S._Epatha_Merkerson/KogD-VZitXI_0000027 752.0 759.4 
S._Epatha_Merkerson/KogD-VZitXI_0000028 813.6 821.0 
S._Epatha_Merkerson/KogD-VZitXI_0000029 839.9 849.8 
S._Epatha_Merkerson/KogD-VZitXI_0000030 877.6 884.6 
S._Epatha_Merkerson/KogD-VZitXI_0000031 905.4 923.5 
S._Epatha_Merkerson/KogD-VZitXI_0000032 930.1 939.9 
S._Epatha_Merkerson/KogD-VZitXI_0000033 956.1 963.6 
S._Epatha_Merkerson/KogD-VZitXI_0000034 963.7 968.4 
S._Epatha_Merkerson/KogD-VZitXI_0000035 976.4 985.1 
S._Epatha_Merkerson/KogD-VZitXI_0000036 1109.8 1121.3 
S._Epatha_Merkerson/KogD-VZitXI_0000037 1121.4 1127.7 
S._Epatha_Merkerson/KogD-VZitXI_0000038 1139.6 1143.8 
S._Epatha_Merkerson/KogD-VZitXI_0000039 1149.8 1156.2 
S._Epatha_Merkerson/KogD-VZitXI_0000040 1158.0 1163.8 
S._Epatha_Merkerson/KogD-VZitXI_0000041 1177.5 1184.6 
S._Epatha_Merkerson/KogD-VZitXI_0000042 1203.9 1209.1 
S._Epatha_Merkerson/KogD-VZitXI_0000043 1233.6 1241.0 
S._Epatha_Merkerson/KogD-VZitXI_0000044 1241.1 1245.6 
S._Epatha_Merkerson/KogD-VZitXI_0000045 1282.7 1297.5 
S._Epatha_Merkerson/KogD-VZitXI_0000046 1303.0 1308.8 
S._Epatha_Merkerson/KogD-VZitXI_0000047 1376.5 1389.3 
S._Epatha_Merkerson/KogD-VZitXI_0000048 1439.6 1450.7 
S._Epatha_Merkerson/KogD-VZitXI_0000049 1548.7 1555.6 
S._Epatha_Merkerson/KogD-VZitXI_0000050 1555.8 1562.5 
S._Epatha_Merkerson/KogD-VZitXI_0000051 1563.5 1567.8 
S._Epatha_Merkerson/KogD-VZitXI_0000052 1583.3 1587.6 
