POI: 			S._Epatha_Merkerson 
Youtube ID: 	ulCC3Hf3sZM 
Video length: 	331.8 sec 
Set (V): 		dev 
 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000001 06.7 11.3 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000002 32.2 40.8 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000003 46.9 53.0 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000004 58.4 66.4 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000005 78.8 84.4 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000006 85.1 89.5 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000007 93.2 98.3 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000008 123.4 128.8 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000009 133.3 140.6 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000010 141.6 152.5 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000011 157.4 161.8 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000012 179.8 185.3 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000013 185.5 194.0 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000014 195.0 199.6 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000015 203.4 212.2 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000016 217.2 221.6 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000017 229.5 236.5 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000018 237.8 244.0 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000019 281.6 285.8 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000020 288.0 292.6 
S._Epatha_Merkerson/ulCC3Hf3sZM_0000021 301.3 309.2 
