POI: 			Bobby_Cannavale 
Youtube ID: 	CrUpSXxGEXs 
Video length: 	730.2 sec 
Set (V): 		dev 
 
Bobby_Cannavale/CrUpSXxGEXs_0000001 41.4 49.4 
Bobby_Cannavale/CrUpSXxGEXs_0000002 98.0 104.4 
Bobby_Cannavale/CrUpSXxGEXs_0000003 134.4 145.1 
Bobby_Cannavale/CrUpSXxGEXs_0000004 146.0 156.0 
Bobby_Cannavale/CrUpSXxGEXs_0000005 178.3 186.6 
Bobby_Cannavale/CrUpSXxGEXs_0000006 187.4 191.8 
Bobby_Cannavale/CrUpSXxGEXs_0000007 272.2 287.2 
Bobby_Cannavale/CrUpSXxGEXs_0000008 291.4 300.0 
Bobby_Cannavale/CrUpSXxGEXs_0000009 303.9 322.2 
Bobby_Cannavale/CrUpSXxGEXs_0000010 370.6 381.2 
Bobby_Cannavale/CrUpSXxGEXs_0000011 395.5 400.2 
Bobby_Cannavale/CrUpSXxGEXs_0000012 444.5 455.3 
Bobby_Cannavale/CrUpSXxGEXs_0000013 456.1 467.4 
Bobby_Cannavale/CrUpSXxGEXs_0000014 528.2 534.6 
Bobby_Cannavale/CrUpSXxGEXs_0000015 591.5 599.6 
Bobby_Cannavale/CrUpSXxGEXs_0000016 642.4 657.4 
Bobby_Cannavale/CrUpSXxGEXs_0000017 661.5 667.5 
Bobby_Cannavale/CrUpSXxGEXs_0000018 670.4 683.0 
