POI: 			Misha_Collins 
Youtube ID: 	f6MLIpHjyn8 
Video length: 	556.0 sec 
Set (V): 		dev 
 
Misha_Collins/f6MLIpHjyn8_0000001 74.4 78.4 
Misha_Collins/f6MLIpHjyn8_0000002 105.6 110.2 
Misha_Collins/f6MLIpHjyn8_0000003 111.2 124.4 
Misha_Collins/f6MLIpHjyn8_0000004 129.1 138.2 
Misha_Collins/f6MLIpHjyn8_0000005 141.7 159.4 
Misha_Collins/f6MLIpHjyn8_0000006 161.7 166.3 
Misha_Collins/f6MLIpHjyn8_0000007 228.3 234.9 
Misha_Collins/f6MLIpHjyn8_0000008 238.5 246.0 
Misha_Collins/f6MLIpHjyn8_0000009 251.9 268.8 
Misha_Collins/f6MLIpHjyn8_0000010 269.2 275.6 
Misha_Collins/f6MLIpHjyn8_0000011 317.0 321.4 
Misha_Collins/f6MLIpHjyn8_0000012 321.6 326.0 
Misha_Collins/f6MLIpHjyn8_0000013 337.6 343.3 
Misha_Collins/f6MLIpHjyn8_0000014 351.5 357.4 
Misha_Collins/f6MLIpHjyn8_0000015 364.6 373.6 
Misha_Collins/f6MLIpHjyn8_0000016 447.6 452.9 
Misha_Collins/f6MLIpHjyn8_0000017 472.6 476.8 
Misha_Collins/f6MLIpHjyn8_0000018 493.8 498.0 
Misha_Collins/f6MLIpHjyn8_0000019 498.9 510.1 
