POI: 			Joseph_Gordon-Levitt 
Youtube ID: 	IXjBDMJc5tE 
Video length: 	1460.2 sec 
Set (V): 		dev 
 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000001 52.3 68.8 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000002 92.3 97.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000003 118.6 123.8 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000004 118.6 132.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000005 132.8 137.1 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000006 146.4 151.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000007 184.2 193.2 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000008 191.9 199.3 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000009 210.2 220.5 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000010 222.7 228.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000011 228.8 233.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000012 254.5 261.3 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000013 414.7 420.1 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000014 445.5 452.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000015 456.0 464.8 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000016 504.6 508.9 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000017 509.7 515.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000018 518.6 524.2 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000019 545.6 549.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000020 552.4 566.9 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000021 608.4 614.9 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000022 615.7 633.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000023 659.8 671.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000024 675.9 691.4 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000025 723.0 727.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000026 754.6 760.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000027 779.0 783.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000028 783.9 787.9 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000029 812.1 822.9 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000030 839.6 844.1 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000031 893.2 900.5 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000032 905.0 909.7 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000033 950.7 959.4 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000034 1032.6 1036.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000035 1056.7 1062.4 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000036 1079.1 1083.6 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000037 1104.1 1112.2 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000038 1336.7 1344.5 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000039 1346.5 1351.4 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000040 1353.5 1357.5 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000041 1358.8 1363.4 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000042 1397.6 1405.2 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000043 1415.4 1420.0 
Joseph_Gordon-Levitt/IXjBDMJc5tE_0000044 1437.5 1442.4 
