POI: 			Brooke_Burke-Charvet 
Youtube ID: 	NzsjhG3xKCI 
Video length: 	436.7 sec 
Set (V): 		dev 
 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000001 73.1 77.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000002 80.2 84.6 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000003 85.6 90.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000004 96.1 100.4 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000005 119.8 124.0 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000006 127.6 136.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000007 152.0 159.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000008 166.9 172.3 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000009 186.9 208.9 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000010 234.7 244.6 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000011 260.0 264.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000012 272.4 284.6 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000013 285.4 291.1 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000014 292.2 306.0 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000015 313.7 318.6 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000016 322.7 329.4 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000017 330.0 334.9 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000018 344.4 357.4 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000019 358.3 362.2 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000020 366.2 375.8 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000021 377.3 382.4 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000022 383.6 388.5 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000023 401.8 412.2 
Brooke_Burke-Charvet/NzsjhG3xKCI_0000024 413.0 420.0 
