POI: 			Michael_C._Hall 
Youtube ID: 	dg_LUd235gk 
Video length: 	1229.6 sec 
Set (V): 		dev 
 
Michael_C._Hall/dg_LUd235gk_0000001 45.9 56.3 
Michael_C._Hall/dg_LUd235gk_0000002 57.1 63.2 
Michael_C._Hall/dg_LUd235gk_0000003 64.9 70.6 
Michael_C._Hall/dg_LUd235gk_0000004 75.7 82.2 
Michael_C._Hall/dg_LUd235gk_0000005 88.3 94.6 
Michael_C._Hall/dg_LUd235gk_0000006 101.1 109.8 
Michael_C._Hall/dg_LUd235gk_0000007 124.2 128.4 
Michael_C._Hall/dg_LUd235gk_0000008 136.9 143.2 
Michael_C._Hall/dg_LUd235gk_0000009 143.5 153.8 
Michael_C._Hall/dg_LUd235gk_0000010 154.6 165.7 
Michael_C._Hall/dg_LUd235gk_0000011 166.4 175.4 
Michael_C._Hall/dg_LUd235gk_0000012 245.6 250.5 
Michael_C._Hall/dg_LUd235gk_0000013 253.4 261.1 
Michael_C._Hall/dg_LUd235gk_0000014 265.1 269.2 
Michael_C._Hall/dg_LUd235gk_0000015 227.9 235.0 
Michael_C._Hall/dg_LUd235gk_0000016 284.3 289.1 
Michael_C._Hall/dg_LUd235gk_0000017 298.5 311.6 
Michael_C._Hall/dg_LUd235gk_0000018 318.3 322.6 
Michael_C._Hall/dg_LUd235gk_0000019 308.7 313.5 
Michael_C._Hall/dg_LUd235gk_0000020 318.1 324.0 
Michael_C._Hall/dg_LUd235gk_0000021 331.0 338.0 
Michael_C._Hall/dg_LUd235gk_0000022 356.4 360.7 
Michael_C._Hall/dg_LUd235gk_0000023 369.3 373.6 
Michael_C._Hall/dg_LUd235gk_0000024 374.5 386.2 
Michael_C._Hall/dg_LUd235gk_0000025 386.7 397.7 
Michael_C._Hall/dg_LUd235gk_0000026 404.3 412.2 
Michael_C._Hall/dg_LUd235gk_0000027 433.5 441.5 
Michael_C._Hall/dg_LUd235gk_0000028 443.4 449.8 
Michael_C._Hall/dg_LUd235gk_0000029 466.8 471.6 
Michael_C._Hall/dg_LUd235gk_0000030 473.4 478.2 
Michael_C._Hall/dg_LUd235gk_0000031 491.3 495.4 
Michael_C._Hall/dg_LUd235gk_0000032 511.1 515.8 
Michael_C._Hall/dg_LUd235gk_0000033 550.8 555.5 
Michael_C._Hall/dg_LUd235gk_0000034 559.3 563.8 
Michael_C._Hall/dg_LUd235gk_0000035 570.2 580.6 
Michael_C._Hall/dg_LUd235gk_0000036 583.8 593.0 
Michael_C._Hall/dg_LUd235gk_0000037 610.7 618.6 
Michael_C._Hall/dg_LUd235gk_0000038 628.1 633.1 
Michael_C._Hall/dg_LUd235gk_0000039 635.3 644.1 
Michael_C._Hall/dg_LUd235gk_0000040 654.2 659.7 
Michael_C._Hall/dg_LUd235gk_0000041 672.9 679.2 
Michael_C._Hall/dg_LUd235gk_0000042 679.4 691.6 
Michael_C._Hall/dg_LUd235gk_0000043 697.2 703.7 
Michael_C._Hall/dg_LUd235gk_0000044 720.3 729.1 
Michael_C._Hall/dg_LUd235gk_0000045 735.0 749.2 
Michael_C._Hall/dg_LUd235gk_0000046 755.2 760.6 
Michael_C._Hall/dg_LUd235gk_0000047 769.1 773.4 
Michael_C._Hall/dg_LUd235gk_0000048 777.8 790.8 
Michael_C._Hall/dg_LUd235gk_0000049 804.8 811.3 
Michael_C._Hall/dg_LUd235gk_0000050 814.0 823.3 
Michael_C._Hall/dg_LUd235gk_0000051 832.2 838.4 
Michael_C._Hall/dg_LUd235gk_0000052 845.2 850.2 
Michael_C._Hall/dg_LUd235gk_0000053 868.2 877.8 
Michael_C._Hall/dg_LUd235gk_0000054 882.7 888.3 
Michael_C._Hall/dg_LUd235gk_0000055 891.0 897.7 
Michael_C._Hall/dg_LUd235gk_0000056 907.1 915.5 
Michael_C._Hall/dg_LUd235gk_0000057 929.7 939.1 
Michael_C._Hall/dg_LUd235gk_0000058 951.0 960.0 
Michael_C._Hall/dg_LUd235gk_0000059 987.8 991.8 
Michael_C._Hall/dg_LUd235gk_0000060 994.4 1000.2 
Michael_C._Hall/dg_LUd235gk_0000061 1024.1 1032.2 
Michael_C._Hall/dg_LUd235gk_0000062 1032.6 1040.3 
Michael_C._Hall/dg_LUd235gk_0000063 1041.2 1054.4 
Michael_C._Hall/dg_LUd235gk_0000064 1066.1 1070.3 
Michael_C._Hall/dg_LUd235gk_0000065 1076.1 1084.6 
Michael_C._Hall/dg_LUd235gk_0000066 1087.5 1091.8 
Michael_C._Hall/dg_LUd235gk_0000067 1103.7 1107.7 
Michael_C._Hall/dg_LUd235gk_0000068 1130.2 1136.6 
Michael_C._Hall/dg_LUd235gk_0000069 1149.7 1165.6 
Michael_C._Hall/dg_LUd235gk_0000070 1166.4 1173.5 
Michael_C._Hall/dg_LUd235gk_0000071 1175.8 1180.0 
Michael_C._Hall/dg_LUd235gk_0000072 1187.8 1191.9 
Michael_C._Hall/dg_LUd235gk_0000073 1214.6 1221.3 
