POI: 			Esai_Morales 
Youtube ID: 	K2_D_tFdAgY 
Video length: 	597.3 sec 
Set (V): 		test 
 
Esai_Morales/K2_D_tFdAgY_0000001 00.7 06.0 
Esai_Morales/K2_D_tFdAgY_0000002 18.0 26.8 
Esai_Morales/K2_D_tFdAgY_0000003 34.6 47.6 
Esai_Morales/K2_D_tFdAgY_0000004 47.9 54.4 
Esai_Morales/K2_D_tFdAgY_0000005 58.2 70.0 
Esai_Morales/K2_D_tFdAgY_0000006 46.3 54.1 
Esai_Morales/K2_D_tFdAgY_0000007 73.3 85.6 
Esai_Morales/K2_D_tFdAgY_0000008 85.8 105.7 
Esai_Morales/K2_D_tFdAgY_0000009 107.3 124.2 
Esai_Morales/K2_D_tFdAgY_0000010 127.3 134.8 
Esai_Morales/K2_D_tFdAgY_0000011 135.8 161.5 
Esai_Morales/K2_D_tFdAgY_0000012 162.3 167.2 
Esai_Morales/K2_D_tFdAgY_0000013 167.8 183.7 
Esai_Morales/K2_D_tFdAgY_0000014 184.3 191.4 
Esai_Morales/K2_D_tFdAgY_0000015 192.2 205.8 
Esai_Morales/K2_D_tFdAgY_0000016 206.0 212.6 
Esai_Morales/K2_D_tFdAgY_0000017 215.7 229.3 
Esai_Morales/K2_D_tFdAgY_0000018 230.6 243.1 
Esai_Morales/K2_D_tFdAgY_0000019 246.2 252.7 
Esai_Morales/K2_D_tFdAgY_0000020 254.2 263.4 
Esai_Morales/K2_D_tFdAgY_0000021 267.5 277.7 
Esai_Morales/K2_D_tFdAgY_0000022 278.0 289.3 
Esai_Morales/K2_D_tFdAgY_0000023 291.2 296.5 
Esai_Morales/K2_D_tFdAgY_0000024 296.7 305.7 
Esai_Morales/K2_D_tFdAgY_0000025 305.9 315.3 
Esai_Morales/K2_D_tFdAgY_0000026 318.0 330.8 
Esai_Morales/K2_D_tFdAgY_0000027 332.8 340.0 
Esai_Morales/K2_D_tFdAgY_0000028 340.3 345.1 
Esai_Morales/K2_D_tFdAgY_0000029 348.6 364.4 
Esai_Morales/K2_D_tFdAgY_0000030 368.7 375.4 
Esai_Morales/K2_D_tFdAgY_0000031 377.8 389.9 
Esai_Morales/K2_D_tFdAgY_0000032 395.1 421.0 
Esai_Morales/K2_D_tFdAgY_0000033 422.6 455.4 
Esai_Morales/K2_D_tFdAgY_0000034 455.9 461.6 
Esai_Morales/K2_D_tFdAgY_0000035 461.8 468.6 
Esai_Morales/K2_D_tFdAgY_0000036 469.2 473.4 
Esai_Morales/K2_D_tFdAgY_0000037 478.9 496.6 
Esai_Morales/K2_D_tFdAgY_0000038 497.6 508.9 
Esai_Morales/K2_D_tFdAgY_0000039 541.4 553.6 
Esai_Morales/K2_D_tFdAgY_0000040 554.9 576.7 
Esai_Morales/K2_D_tFdAgY_0000041 578.8 585.4 
