POI: 			Esai_Morales 
Youtube ID: 	2Er-cV85fc4 
Video length: 	631.4 sec 
Set (V): 		test 
 
Esai_Morales/2Er-cV85fc4_0000001 17.7 32.0 
Esai_Morales/2Er-cV85fc4_0000002 33.2 39.8 
Esai_Morales/2Er-cV85fc4_0000003 52.9 58.4 
Esai_Morales/2Er-cV85fc4_0000004 60.7 67.1 
Esai_Morales/2Er-cV85fc4_0000005 69.0 75.1 
Esai_Morales/2Er-cV85fc4_0000006 100.1 117.8 
Esai_Morales/2Er-cV85fc4_0000007 135.8 143.7 
Esai_Morales/2Er-cV85fc4_0000008 143.8 158.0 
Esai_Morales/2Er-cV85fc4_0000009 158.1 171.7 
Esai_Morales/2Er-cV85fc4_0000010 185.4 193.2 
Esai_Morales/2Er-cV85fc4_0000011 194.8 201.5 
Esai_Morales/2Er-cV85fc4_0000012 206.4 211.9 
Esai_Morales/2Er-cV85fc4_0000013 212.3 221.7 
Esai_Morales/2Er-cV85fc4_0000014 249.4 253.4 
Esai_Morales/2Er-cV85fc4_0000015 253.6 267.2 
Esai_Morales/2Er-cV85fc4_0000016 267.8 277.6 
Esai_Morales/2Er-cV85fc4_0000017 278.0 283.3 
Esai_Morales/2Er-cV85fc4_0000018 283.4 291.6 
Esai_Morales/2Er-cV85fc4_0000019 295.1 304.5 
Esai_Morales/2Er-cV85fc4_0000020 310.2 329.9 
Esai_Morales/2Er-cV85fc4_0000021 330.7 338.7 
Esai_Morales/2Er-cV85fc4_0000022 345.3 350.1 
Esai_Morales/2Er-cV85fc4_0000023 351.7 362.4 
Esai_Morales/2Er-cV85fc4_0000024 390.6 398.7 
Esai_Morales/2Er-cV85fc4_0000025 401.4 412.8 
Esai_Morales/2Er-cV85fc4_0000026 413.7 428.2 
Esai_Morales/2Er-cV85fc4_0000027 451.7 459.0 
Esai_Morales/2Er-cV85fc4_0000028 480.6 491.8 
Esai_Morales/2Er-cV85fc4_0000029 492.4 507.4 
Esai_Morales/2Er-cV85fc4_0000030 530.4 536.6 
Esai_Morales/2Er-cV85fc4_0000031 590.4 596.5 
