POI: 			Wendy_Williams 
Youtube ID: 	i6YSVo-OP0M 
Video length: 	537.1 sec 
Set (V): 		dev 
 
Wendy_Williams/i6YSVo-OP0M_0000001 17.4 26.8 
Wendy_Williams/i6YSVo-OP0M_0000002 32.6 50.4 
Wendy_Williams/i6YSVo-OP0M_0000003 55.1 64.4 
Wendy_Williams/i6YSVo-OP0M_0000004 69.9 74.3 
Wendy_Williams/i6YSVo-OP0M_0000005 78.6 86.4 
Wendy_Williams/i6YSVo-OP0M_0000006 91.2 98.2 
Wendy_Williams/i6YSVo-OP0M_0000007 98.7 107.8 
Wendy_Williams/i6YSVo-OP0M_0000008 113.8 126.7 
Wendy_Williams/i6YSVo-OP0M_0000009 141.6 155.0 
Wendy_Williams/i6YSVo-OP0M_0000010 156.5 160.5 
Wendy_Williams/i6YSVo-OP0M_0000011 168.7 180.4 
Wendy_Williams/i6YSVo-OP0M_0000012 192.9 198.8 
Wendy_Williams/i6YSVo-OP0M_0000013 204.0 210.4 
Wendy_Williams/i6YSVo-OP0M_0000014 214.4 221.8 
Wendy_Williams/i6YSVo-OP0M_0000015 227.7 237.7 
Wendy_Williams/i6YSVo-OP0M_0000016 247.3 252.2 
Wendy_Williams/i6YSVo-OP0M_0000017 252.9 263.4 
Wendy_Williams/i6YSVo-OP0M_0000018 273.5 281.6 
Wendy_Williams/i6YSVo-OP0M_0000019 291.9 301.0 
Wendy_Williams/i6YSVo-OP0M_0000020 320.6 337.7 
Wendy_Williams/i6YSVo-OP0M_0000021 343.7 353.5 
Wendy_Williams/i6YSVo-OP0M_0000022 355.4 377.1 
Wendy_Williams/i6YSVo-OP0M_0000023 399.0 405.3 
Wendy_Williams/i6YSVo-OP0M_0000024 415.6 430.2 
Wendy_Williams/i6YSVo-OP0M_0000025 432.0 442.6 
Wendy_Williams/i6YSVo-OP0M_0000026 447.5 456.5 
Wendy_Williams/i6YSVo-OP0M_0000027 465.6 479.1 
Wendy_Williams/i6YSVo-OP0M_0000028 487.1 496.8 
Wendy_Williams/i6YSVo-OP0M_0000029 515.3 529.2 
