POI: 			Julia_Roberts 
Youtube ID: 	YJ4k27W5k9I 
Video length: 	1431.1 sec 
Set (V): 		dev 
 
Julia_Roberts/YJ4k27W5k9I_0000001 362.7 368.7 
Julia_Roberts/YJ4k27W5k9I_0000002 417.4 422.7 
Julia_Roberts/YJ4k27W5k9I_0000003 427.1 433.4 
Julia_Roberts/YJ4k27W5k9I_0000004 481.9 498.2 
Julia_Roberts/YJ4k27W5k9I_0000005 507.5 512.8 
Julia_Roberts/YJ4k27W5k9I_0000006 515.6 522.0 
Julia_Roberts/YJ4k27W5k9I_0000007 493.2 499.5 
Julia_Roberts/YJ4k27W5k9I_0000008 499.9 504.2 
Julia_Roberts/YJ4k27W5k9I_0000009 513.5 519.2 
Julia_Roberts/YJ4k27W5k9I_0000010 1201.4 1206.4 
Julia_Roberts/YJ4k27W5k9I_0000011 1211.1 1217.3 
Julia_Roberts/YJ4k27W5k9I_0000012 1269.4 1274.6 
Julia_Roberts/YJ4k27W5k9I_0000013 1277.0 1285.4 
Julia_Roberts/YJ4k27W5k9I_0000014 1333.7 1340.4 
Julia_Roberts/YJ4k27W5k9I_0000015 1361.4 1366.6 
Julia_Roberts/YJ4k27W5k9I_0000016 1369.0 1377.3 
