POI: 			Kaya_Scodelario 
Youtube ID: 	EP5e91r30OI 
Video length: 	321.3 sec 
Set (V): 		dev 
 
Kaya_Scodelario/EP5e91r30OI_0000001 02.2 07.3 
Kaya_Scodelario/EP5e91r30OI_0000002 17.2 21.6 
Kaya_Scodelario/EP5e91r30OI_0000003 32.2 37.1 
Kaya_Scodelario/EP5e91r30OI_0000004 51.6 56.7 
Kaya_Scodelario/EP5e91r30OI_0000005 33.5 44.7 
Kaya_Scodelario/EP5e91r30OI_0000006 51.4 56.4 
Kaya_Scodelario/EP5e91r30OI_0000007 85.6 89.7 
Kaya_Scodelario/EP5e91r30OI_0000008 116.3 135.4 
Kaya_Scodelario/EP5e91r30OI_0000009 135.7 145.8 
Kaya_Scodelario/EP5e91r30OI_0000010 146.9 152.2 
Kaya_Scodelario/EP5e91r30OI_0000011 168.7 178.0 
Kaya_Scodelario/EP5e91r30OI_0000012 212.1 216.2 
Kaya_Scodelario/EP5e91r30OI_0000013 219.1 227.1 
Kaya_Scodelario/EP5e91r30OI_0000014 253.6 267.4 
Kaya_Scodelario/EP5e91r30OI_0000015 278.0 287.4 
Kaya_Scodelario/EP5e91r30OI_0000016 287.6 293.0 
