POI: 			Vicky_McClure 
Youtube ID: 	Cr8NtC7u6xI 
Video length: 	258.7 sec 
Set (V): 		dev 
 
Vicky_McClure/Cr8NtC7u6xI_0000001 05.2 11.4 
Vicky_McClure/Cr8NtC7u6xI_0000002 18.7 26.4 
Vicky_McClure/Cr8NtC7u6xI_0000003 30.6 39.9 
Vicky_McClure/Cr8NtC7u6xI_0000004 60.5 69.8 
Vicky_McClure/Cr8NtC7u6xI_0000005 91.0 105.7 
Vicky_McClure/Cr8NtC7u6xI_0000006 106.4 110.4 
Vicky_McClure/Cr8NtC7u6xI_0000007 111.2 115.9 
Vicky_McClure/Cr8NtC7u6xI_0000008 116.8 128.0 
Vicky_McClure/Cr8NtC7u6xI_0000009 146.8 155.2 
Vicky_McClure/Cr8NtC7u6xI_0000010 156.3 161.5 
Vicky_McClure/Cr8NtC7u6xI_0000011 169.5 190.5 
Vicky_McClure/Cr8NtC7u6xI_0000012 201.6 206.9 
Vicky_McClure/Cr8NtC7u6xI_0000013 224.2 228.3 
Vicky_McClure/Cr8NtC7u6xI_0000014 231.2 241.1 
Vicky_McClure/Cr8NtC7u6xI_0000015 229.0 241.9 
Vicky_McClure/Cr8NtC7u6xI_0000016 248.1 254.4 
