POI: 			Charles_S._Dutton 
Youtube ID: 	34YA89TlYlI 
Video length: 	774.7 sec 
Set (V): 		dev 
 
Charles_S._Dutton/34YA89TlYlI_0000001 18.4 45.1 
Charles_S._Dutton/34YA89TlYlI_0000002 57.6 78.2 
Charles_S._Dutton/34YA89TlYlI_0000003 78.8 87.6 
Charles_S._Dutton/34YA89TlYlI_0000004 88.2 93.8 
Charles_S._Dutton/34YA89TlYlI_0000005 101.7 108.0 
Charles_S._Dutton/34YA89TlYlI_0000006 109.6 118.2 
Charles_S._Dutton/34YA89TlYlI_0000007 120.1 128.9 
Charles_S._Dutton/34YA89TlYlI_0000008 134.0 146.5 
Charles_S._Dutton/34YA89TlYlI_0000009 147.6 159.0 
Charles_S._Dutton/34YA89TlYlI_0000010 166.0 173.6 
Charles_S._Dutton/34YA89TlYlI_0000011 178.4 182.8 
Charles_S._Dutton/34YA89TlYlI_0000012 189.4 196.2 
Charles_S._Dutton/34YA89TlYlI_0000013 212.7 220.6 
Charles_S._Dutton/34YA89TlYlI_0000014 221.2 226.9 
Charles_S._Dutton/34YA89TlYlI_0000015 229.2 234.5 
Charles_S._Dutton/34YA89TlYlI_0000016 235.3 243.0 
Charles_S._Dutton/34YA89TlYlI_0000017 275.2 282.8 
Charles_S._Dutton/34YA89TlYlI_0000018 301.6 308.8 
Charles_S._Dutton/34YA89TlYlI_0000019 316.2 323.0 
Charles_S._Dutton/34YA89TlYlI_0000020 325.4 340.7 
Charles_S._Dutton/34YA89TlYlI_0000021 350.5 358.6 
Charles_S._Dutton/34YA89TlYlI_0000022 361.8 367.0 
Charles_S._Dutton/34YA89TlYlI_0000023 381.4 386.8 
Charles_S._Dutton/34YA89TlYlI_0000024 417.6 431.4 
Charles_S._Dutton/34YA89TlYlI_0000025 432.4 436.5 
Charles_S._Dutton/34YA89TlYlI_0000026 446.3 455.8 
Charles_S._Dutton/34YA89TlYlI_0000027 458.8 468.1 
Charles_S._Dutton/34YA89TlYlI_0000028 470.2 503.6 
Charles_S._Dutton/34YA89TlYlI_0000029 505.6 514.8 
Charles_S._Dutton/34YA89TlYlI_0000030 507.8 514.5 
Charles_S._Dutton/34YA89TlYlI_0000031 520.5 531.6 
Charles_S._Dutton/34YA89TlYlI_0000032 579.1 587.0 
Charles_S._Dutton/34YA89TlYlI_0000033 587.2 593.7 
Charles_S._Dutton/34YA89TlYlI_0000034 602.7 612.3 
Charles_S._Dutton/34YA89TlYlI_0000035 614.1 618.4 
Charles_S._Dutton/34YA89TlYlI_0000036 619.8 625.0 
Charles_S._Dutton/34YA89TlYlI_0000037 629.6 648.7 
Charles_S._Dutton/34YA89TlYlI_0000038 655.8 665.2 
Charles_S._Dutton/34YA89TlYlI_0000039 670.9 676.4 
Charles_S._Dutton/34YA89TlYlI_0000040 682.7 695.9 
Charles_S._Dutton/34YA89TlYlI_0000041 711.2 717.0 
Charles_S._Dutton/34YA89TlYlI_0000042 720.1 727.6 
Charles_S._Dutton/34YA89TlYlI_0000043 730.4 741.0 
Charles_S._Dutton/34YA89TlYlI_0000044 743.5 747.9 
Charles_S._Dutton/34YA89TlYlI_0000045 753.5 758.1 
