POI: 			America_Ferrera 
Youtube ID: 	znus6PIiKqA 
Video length: 	470.3 sec 
Set (V): 		dev 
 
America_Ferrera/znus6PIiKqA_0000001 08.3 13.6 
America_Ferrera/znus6PIiKqA_0000002 18.0 24.8 
America_Ferrera/znus6PIiKqA_0000003 28.4 32.6 
America_Ferrera/znus6PIiKqA_0000004 41.9 47.2 
America_Ferrera/znus6PIiKqA_0000005 66.3 73.3 
America_Ferrera/znus6PIiKqA_0000006 73.4 78.5 
America_Ferrera/znus6PIiKqA_0000007 93.7 99.2 
America_Ferrera/znus6PIiKqA_0000008 99.4 104.0 
America_Ferrera/znus6PIiKqA_0000009 107.5 111.8 
America_Ferrera/znus6PIiKqA_0000010 116.1 122.2 
America_Ferrera/znus6PIiKqA_0000011 123.8 138.8 
America_Ferrera/znus6PIiKqA_0000012 141.7 146.8 
America_Ferrera/znus6PIiKqA_0000013 162.9 172.1 
America_Ferrera/znus6PIiKqA_0000014 176.0 180.7 
America_Ferrera/znus6PIiKqA_0000015 190.2 199.8 
America_Ferrera/znus6PIiKqA_0000016 201.7 206.6 
America_Ferrera/znus6PIiKqA_0000017 207.2 214.2 
America_Ferrera/znus6PIiKqA_0000018 217.2 222.1 
America_Ferrera/znus6PIiKqA_0000019 223.5 234.8 
America_Ferrera/znus6PIiKqA_0000020 241.8 259.8 
America_Ferrera/znus6PIiKqA_0000021 263.9 268.2 
America_Ferrera/znus6PIiKqA_0000022 274.1 281.2 
America_Ferrera/znus6PIiKqA_0000023 289.4 297.4 
America_Ferrera/znus6PIiKqA_0000024 298.5 304.4 
America_Ferrera/znus6PIiKqA_0000025 315.9 320.8 
America_Ferrera/znus6PIiKqA_0000026 328.8 333.2 
America_Ferrera/znus6PIiKqA_0000027 336.4 346.6 
America_Ferrera/znus6PIiKqA_0000028 349.3 353.9 
America_Ferrera/znus6PIiKqA_0000029 354.2 360.9 
America_Ferrera/znus6PIiKqA_0000030 364.0 376.0 
America_Ferrera/znus6PIiKqA_0000031 383.5 389.2 
America_Ferrera/znus6PIiKqA_0000032 394.0 410.6 
America_Ferrera/znus6PIiKqA_0000033 411.3 417.4 
America_Ferrera/znus6PIiKqA_0000034 419.4 424.2 
America_Ferrera/znus6PIiKqA_0000035 430.8 441.3 
America_Ferrera/znus6PIiKqA_0000036 442.4 446.9 
America_Ferrera/znus6PIiKqA_0000037 452.1 467.2 
