POI: 			Aamir_Khan 
Youtube ID: 	E_6MjfYr0sQ 
Video length: 	2008.5 sec 
Set (V): 		dev 
 
Aamir_Khan/E_6MjfYr0sQ_0000001 57.2 62.8 
Aamir_Khan/E_6MjfYr0sQ_0000002 101.2 105.4 
Aamir_Khan/E_6MjfYr0sQ_0000003 113.5 117.8 
Aamir_Khan/E_6MjfYr0sQ_0000004 124.4 128.4 
Aamir_Khan/E_6MjfYr0sQ_0000005 130.2 136.2 
Aamir_Khan/E_6MjfYr0sQ_0000006 139.6 145.7 
Aamir_Khan/E_6MjfYr0sQ_0000007 191.0 199.4 
Aamir_Khan/E_6MjfYr0sQ_0000008 207.8 214.2 
Aamir_Khan/E_6MjfYr0sQ_0000009 273.6 278.2 
Aamir_Khan/E_6MjfYr0sQ_0000010 360.9 365.8 
Aamir_Khan/E_6MjfYr0sQ_0000011 414.2 421.4 
Aamir_Khan/E_6MjfYr0sQ_0000012 475.6 480.0 
Aamir_Khan/E_6MjfYr0sQ_0000013 499.1 504.8 
Aamir_Khan/E_6MjfYr0sQ_0000014 583.2 589.8 
Aamir_Khan/E_6MjfYr0sQ_0000015 597.2 602.4 
Aamir_Khan/E_6MjfYr0sQ_0000016 611.6 615.9 
Aamir_Khan/E_6MjfYr0sQ_0000017 654.1 658.0 
Aamir_Khan/E_6MjfYr0sQ_0000018 706.6 711.8 
Aamir_Khan/E_6MjfYr0sQ_0000019 838.1 842.1 
Aamir_Khan/E_6MjfYr0sQ_0000020 925.8 930.2 
Aamir_Khan/E_6MjfYr0sQ_0000021 930.5 938.1 
Aamir_Khan/E_6MjfYr0sQ_0000022 951.0 957.2 
Aamir_Khan/E_6MjfYr0sQ_0000023 1018.8 1030.0 
Aamir_Khan/E_6MjfYr0sQ_0000024 1038.1 1042.6 
Aamir_Khan/E_6MjfYr0sQ_0000025 1087.3 1098.7 
Aamir_Khan/E_6MjfYr0sQ_0000026 1121.9 1128.0 
Aamir_Khan/E_6MjfYr0sQ_0000027 1132.8 1137.0 
Aamir_Khan/E_6MjfYr0sQ_0000028 1154.9 1159.7 
Aamir_Khan/E_6MjfYr0sQ_0000029 1260.6 1268.5 
Aamir_Khan/E_6MjfYr0sQ_0000030 1276.1 1282.4 
Aamir_Khan/E_6MjfYr0sQ_0000031 1297.5 1303.6 
Aamir_Khan/E_6MjfYr0sQ_0000032 1315.8 1324.2 
Aamir_Khan/E_6MjfYr0sQ_0000033 1324.4 1329.9 
Aamir_Khan/E_6MjfYr0sQ_0000034 1393.7 1398.1 
Aamir_Khan/E_6MjfYr0sQ_0000035 1398.8 1403.4 
Aamir_Khan/E_6MjfYr0sQ_0000036 1500.0 1513.6 
Aamir_Khan/E_6MjfYr0sQ_0000037 1525.9 1534.0 
Aamir_Khan/E_6MjfYr0sQ_0000038 1539.2 1545.3 
Aamir_Khan/E_6MjfYr0sQ_0000039 1626.4 1630.4 
Aamir_Khan/E_6MjfYr0sQ_0000040 1696.1 1701.1 
Aamir_Khan/E_6MjfYr0sQ_0000041 1735.1 1739.5 
Aamir_Khan/E_6MjfYr0sQ_0000042 1782.8 1795.0 
Aamir_Khan/E_6MjfYr0sQ_0000043 1961.1 1965.7 
Aamir_Khan/E_6MjfYr0sQ_0000044 1980.7 1984.8 
