POI: 			Suraj_Sharma 
Youtube ID: 	IZhnh1gf70g 
Video length: 	646.3 sec 
Set (V): 		dev 
 
Suraj_Sharma/IZhnh1gf70g_0000001 07.6 11.8 
Suraj_Sharma/IZhnh1gf70g_0000002 14.2 21.1 
Suraj_Sharma/IZhnh1gf70g_0000003 26.6 36.6 
Suraj_Sharma/IZhnh1gf70g_0000004 60.5 67.8 
Suraj_Sharma/IZhnh1gf70g_0000005 69.4 75.5 
Suraj_Sharma/IZhnh1gf70g_0000006 92.2 97.8 
Suraj_Sharma/IZhnh1gf70g_0000007 132.2 139.4 
Suraj_Sharma/IZhnh1gf70g_0000008 144.2 149.8 
Suraj_Sharma/IZhnh1gf70g_0000009 158.3 163.9 
Suraj_Sharma/IZhnh1gf70g_0000010 243.2 255.6 
Suraj_Sharma/IZhnh1gf70g_0000011 256.2 266.8 
Suraj_Sharma/IZhnh1gf70g_0000012 276.8 281.9 
Suraj_Sharma/IZhnh1gf70g_0000013 286.4 295.0 
Suraj_Sharma/IZhnh1gf70g_0000014 334.4 348.2 
Suraj_Sharma/IZhnh1gf70g_0000015 352.7 359.5 
Suraj_Sharma/IZhnh1gf70g_0000016 364.9 369.6 
Suraj_Sharma/IZhnh1gf70g_0000017 433.4 438.2 
Suraj_Sharma/IZhnh1gf70g_0000018 447.9 452.5 
Suraj_Sharma/IZhnh1gf70g_0000019 458.6 464.0 
Suraj_Sharma/IZhnh1gf70g_0000020 481.9 487.0 
Suraj_Sharma/IZhnh1gf70g_0000021 494.1 498.2 
Suraj_Sharma/IZhnh1gf70g_0000022 518.4 522.7 
Suraj_Sharma/IZhnh1gf70g_0000023 586.8 591.7 
Suraj_Sharma/IZhnh1gf70g_0000024 596.3 601.4 
Suraj_Sharma/IZhnh1gf70g_0000025 602.3 606.4 
Suraj_Sharma/IZhnh1gf70g_0000026 618.2 625.6 
Suraj_Sharma/IZhnh1gf70g_0000027 633.7 641.7 
