POI: 			Suraj_Sharma 
Youtube ID: 	F8zXHQZ_VyA 
Video length: 	551.1 sec 
Set (V): 		dev 
 
Suraj_Sharma/F8zXHQZ_VyA_0000001 09.8 14.5 
Suraj_Sharma/F8zXHQZ_VyA_0000002 20.3 24.7 
Suraj_Sharma/F8zXHQZ_VyA_0000003 37.3 43.7 
Suraj_Sharma/F8zXHQZ_VyA_0000004 44.6 53.6 
Suraj_Sharma/F8zXHQZ_VyA_0000005 95.0 101.1 
Suraj_Sharma/F8zXHQZ_VyA_0000006 107.3 117.2 
Suraj_Sharma/F8zXHQZ_VyA_0000007 117.8 122.6 
Suraj_Sharma/F8zXHQZ_VyA_0000008 130.2 136.6 
Suraj_Sharma/F8zXHQZ_VyA_0000009 236.1 242.2 
Suraj_Sharma/F8zXHQZ_VyA_0000010 247.2 252.7 
Suraj_Sharma/F8zXHQZ_VyA_0000011 304.3 311.1 
Suraj_Sharma/F8zXHQZ_VyA_0000012 315.3 324.2 
Suraj_Sharma/F8zXHQZ_VyA_0000013 324.3 330.6 
Suraj_Sharma/F8zXHQZ_VyA_0000014 338.4 347.9 
Suraj_Sharma/F8zXHQZ_VyA_0000015 463.8 468.6 
Suraj_Sharma/F8zXHQZ_VyA_0000016 491.6 495.7 
