POI: 			Margot_Robbie 
Youtube ID: 	ftqN24vX-t0 
Video length: 	959.7 sec 
Set (V): 		dev 
 
Margot_Robbie/ftqN24vX-t0_0000001 121.4 126.1 
Margot_Robbie/ftqN24vX-t0_0000002 164.2 171.1 
Margot_Robbie/ftqN24vX-t0_0000003 189.3 200.2 
Margot_Robbie/ftqN24vX-t0_0000004 202.1 206.6 
Margot_Robbie/ftqN24vX-t0_0000005 214.8 221.4 
Margot_Robbie/ftqN24vX-t0_0000006 239.0 245.3 
Margot_Robbie/ftqN24vX-t0_0000007 245.6 254.4 
Margot_Robbie/ftqN24vX-t0_0000008 255.2 270.2 
Margot_Robbie/ftqN24vX-t0_0000009 275.0 279.8 
Margot_Robbie/ftqN24vX-t0_0000010 280.3 289.9 
Margot_Robbie/ftqN24vX-t0_0000011 409.0 414.0 
Margot_Robbie/ftqN24vX-t0_0000012 420.4 431.8 
Margot_Robbie/ftqN24vX-t0_0000013 447.0 452.2 
Margot_Robbie/ftqN24vX-t0_0000014 583.8 589.0 
Margot_Robbie/ftqN24vX-t0_0000015 705.5 709.8 
Margot_Robbie/ftqN24vX-t0_0000016 735.7 751.1 
Margot_Robbie/ftqN24vX-t0_0000017 759.2 765.8 
Margot_Robbie/ftqN24vX-t0_0000018 783.6 789.9 
Margot_Robbie/ftqN24vX-t0_0000019 882.7 897.6 
Margot_Robbie/ftqN24vX-t0_0000020 902.6 907.6 
Margot_Robbie/ftqN24vX-t0_0000021 907.8 917.6 
