POI: 			Nathalie_Emmanuel 
Youtube ID: 	sZQL296tthw 
Video length: 	507.8 sec 
Set (V): 		dev 
 
Nathalie_Emmanuel/sZQL296tthw_0000001 70.4 88.1 
Nathalie_Emmanuel/sZQL296tthw_0000002 93.6 108.3 
Nathalie_Emmanuel/sZQL296tthw_0000003 116.3 120.9 
Nathalie_Emmanuel/sZQL296tthw_0000004 125.5 131.6 
Nathalie_Emmanuel/sZQL296tthw_0000005 157.7 161.8 
Nathalie_Emmanuel/sZQL296tthw_0000006 164.7 183.9 
Nathalie_Emmanuel/sZQL296tthw_0000007 189.0 193.0 
Nathalie_Emmanuel/sZQL296tthw_0000008 197.8 204.4 
Nathalie_Emmanuel/sZQL296tthw_0000009 212.2 222.1 
Nathalie_Emmanuel/sZQL296tthw_0000010 245.9 250.2 
Nathalie_Emmanuel/sZQL296tthw_0000011 255.1 263.0 
Nathalie_Emmanuel/sZQL296tthw_0000012 264.1 269.0 
Nathalie_Emmanuel/sZQL296tthw_0000013 278.1 282.2 
Nathalie_Emmanuel/sZQL296tthw_0000014 283.5 288.6 
Nathalie_Emmanuel/sZQL296tthw_0000015 292.3 306.4 
Nathalie_Emmanuel/sZQL296tthw_0000016 311.8 319.8 
Nathalie_Emmanuel/sZQL296tthw_0000017 322.9 327.0 
Nathalie_Emmanuel/sZQL296tthw_0000018 343.2 351.9 
Nathalie_Emmanuel/sZQL296tthw_0000019 356.0 360.1 
Nathalie_Emmanuel/sZQL296tthw_0000020 360.8 367.6 
Nathalie_Emmanuel/sZQL296tthw_0000021 377.6 385.7 
Nathalie_Emmanuel/sZQL296tthw_0000022 386.6 395.3 
Nathalie_Emmanuel/sZQL296tthw_0000023 395.4 401.2 
Nathalie_Emmanuel/sZQL296tthw_0000024 406.8 414.6 
Nathalie_Emmanuel/sZQL296tthw_0000025 423.5 442.8 
