POI: 			Michael_Crichton 
Youtube ID: 	9QXota4sh7Q 
Video length: 	2193.5 sec 
Set (V): 		dev 
 
Michael_Crichton/9QXota4sh7Q_0000001 71.3 75.5 
Michael_Crichton/9QXota4sh7Q_0000002 79.9 91.7 
Michael_Crichton/9QXota4sh7Q_0000003 132.0 136.4 
Michael_Crichton/9QXota4sh7Q_0000004 151.5 155.6 
Michael_Crichton/9QXota4sh7Q_0000005 176.5 187.6 
Michael_Crichton/9QXota4sh7Q_0000006 328.0 334.4 
Michael_Crichton/9QXota4sh7Q_0000007 349.2 356.2 
Michael_Crichton/9QXota4sh7Q_0000008 431.6 439.2 
Michael_Crichton/9QXota4sh7Q_0000009 443.1 448.0 
Michael_Crichton/9QXota4sh7Q_0000010 501.8 506.0 
Michael_Crichton/9QXota4sh7Q_0000011 507.0 512.9 
Michael_Crichton/9QXota4sh7Q_0000012 513.8 518.1 
Michael_Crichton/9QXota4sh7Q_0000013 640.0 650.6 
Michael_Crichton/9QXota4sh7Q_0000014 674.4 681.4 
Michael_Crichton/9QXota4sh7Q_0000015 682.2 686.3 
Michael_Crichton/9QXota4sh7Q_0000016 716.6 720.7 
Michael_Crichton/9QXota4sh7Q_0000017 727.6 734.2 
Michael_Crichton/9QXota4sh7Q_0000018 737.8 744.0 
Michael_Crichton/9QXota4sh7Q_0000019 744.2 751.2 
Michael_Crichton/9QXota4sh7Q_0000020 752.0 757.7 
Michael_Crichton/9QXota4sh7Q_0000021 771.4 776.9 
Michael_Crichton/9QXota4sh7Q_0000022 792.9 803.5 
Michael_Crichton/9QXota4sh7Q_0000023 806.0 810.0 
Michael_Crichton/9QXota4sh7Q_0000024 952.2 956.2 
Michael_Crichton/9QXota4sh7Q_0000025 960.1 966.6 
Michael_Crichton/9QXota4sh7Q_0000026 966.7 972.8 
Michael_Crichton/9QXota4sh7Q_0000027 975.5 981.1 
Michael_Crichton/9QXota4sh7Q_0000028 1097.1 1102.0 
Michael_Crichton/9QXota4sh7Q_0000029 1148.2 1156.8 
Michael_Crichton/9QXota4sh7Q_0000030 1227.9 1235.4 
Michael_Crichton/9QXota4sh7Q_0000031 1242.1 1248.5 
Michael_Crichton/9QXota4sh7Q_0000032 1266.6 1271.6 
Michael_Crichton/9QXota4sh7Q_0000033 1286.3 1292.4 
Michael_Crichton/9QXota4sh7Q_0000034 1303.2 1310.3 
Michael_Crichton/9QXota4sh7Q_0000035 1312.3 1318.7 
Michael_Crichton/9QXota4sh7Q_0000036 1324.8 1330.1 
Michael_Crichton/9QXota4sh7Q_0000037 1363.3 1368.9 
Michael_Crichton/9QXota4sh7Q_0000038 1369.5 1377.7 
Michael_Crichton/9QXota4sh7Q_0000039 1430.3 1436.6 
Michael_Crichton/9QXota4sh7Q_0000040 1541.6 1546.8 
Michael_Crichton/9QXota4sh7Q_0000041 1831.3 1841.1 
Michael_Crichton/9QXota4sh7Q_0000042 1842.9 1848.3 
Michael_Crichton/9QXota4sh7Q_0000043 1852.3 1857.9 
Michael_Crichton/9QXota4sh7Q_0000044 1890.0 1904.1 
Michael_Crichton/9QXota4sh7Q_0000045 1952.3 1956.7 
Michael_Crichton/9QXota4sh7Q_0000046 1957.5 1970.7 
Michael_Crichton/9QXota4sh7Q_0000047 2039.5 2044.4 
Michael_Crichton/9QXota4sh7Q_0000048 2123.2 2127.2 
Michael_Crichton/9QXota4sh7Q_0000049 2138.1 2142.7 
