POI: 			Shohreh_Aghdashloo 
Youtube ID: 	q7xxJIiRNoM 
Video length: 	977.2 sec 
Set (V): 		dev 
 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000001 30.6 35.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000002 52.7 64.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000003 64.4 71.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000004 91.4 101.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000005 101.7 106.0 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000006 116.4 122.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000007 123.3 135.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000008 136.2 166.8 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000009 168.0 185.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000010 185.8 199.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000011 201.6 207.7 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000012 218.2 230.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000013 233.9 238.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000014 238.8 249.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000015 273.4 283.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000016 283.5 292.0 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000017 353.2 359.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000018 366.8 377.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000019 377.4 408.8 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000020 409.2 437.0 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000021 443.0 449.8 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000022 450.3 466.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000023 472.6 482.8 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000024 468.0 486.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000025 491.6 518.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000026 525.8 542.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000027 549.7 561.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000028 572.4 586.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000029 586.9 591.9 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000030 597.4 609.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000031 610.4 618.5 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000032 618.7 626.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000033 655.6 667.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000034 668.0 676.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000035 677.3 681.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000036 684.8 691.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000037 691.7 709.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000038 712.4 719.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000039 721.0 727.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000040 747.2 757.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000041 744.5 756.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000042 793.2 798.9 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000043 803.6 822.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000044 822.9 828.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000045 829.0 833.3 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000046 834.3 839.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000047 843.2 850.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000048 840.3 874.2 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000049 894.7 903.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000050 869.7 875.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000051 875.8 882.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000052 883.7 891.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000053 894.9 900.4 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000054 905.9 920.8 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000055 925.3 939.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000056 939.5 945.6 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000057 945.9 950.1 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000058 958.0 962.0 
Shohreh_Aghdashloo/q7xxJIiRNoM_0000059 962.8 968.4 
