POI: 			Wendi_McLendon-Covey 
Youtube ID: 	KdvLpqo0zKA 
Video length: 	239.7 sec 
Set (V): 		dev 
 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000001 06.8 26.4 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000002 27.3 33.6 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000003 50.7 56.0 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000004 58.3 66.0 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000005 73.2 79.6 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000006 79.7 92.4 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000007 104.6 114.2 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000008 115.8 121.2 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000009 122.0 129.2 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000010 129.8 134.1 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000011 134.7 145.2 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000012 146.6 151.9 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000013 172.1 181.4 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000014 182.0 191.6 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000015 194.4 200.7 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000016 201.2 208.1 
Wendi_McLendon-Covey/KdvLpqo0zKA_0000017 218.6 222.6 
