POI: 			Wendi_McLendon-Covey 
Youtube ID: 	Ge-B5sb3h90 
Video length: 	289.0 sec 
Set (V): 		dev 
 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000001 22.1 26.9 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000002 38.4 43.7 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000003 50.4 55.5 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000004 70.4 76.3 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000005 78.0 89.0 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000006 95.0 106.5 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000007 111.5 120.7 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000008 143.7 155.6 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000009 157.1 166.2 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000010 190.5 213.0 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000011 219.2 223.6 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000012 229.5 235.6 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000013 243.8 251.2 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000014 252.2 259.3 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000015 262.0 266.4 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000016 267.0 276.4 
Wendi_McLendon-Covey/Ge-B5sb3h90_0000017 277.2 284.0 
