POI: 			Wendi_McLendon-Covey 
Youtube ID: 	zNbrK8g_6sY 
Video length: 	560.0 sec 
Set (V): 		dev 
 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000001 19.1 27.4 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000002 28.5 35.6 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000003 48.7 53.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000004 54.5 59.0 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000005 91.3 102.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000006 116.6 139.6 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000007 156.8 163.7 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000008 184.0 189.1 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000009 189.3 197.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000010 200.1 205.4 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000011 209.1 217.0 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000012 218.6 228.5 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000013 240.6 244.7 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000014 248.1 253.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000015 253.5 260.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000016 282.0 292.9 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000017 296.0 301.3 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000018 309.6 313.8 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000019 362.0 369.1 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000020 379.6 390.0 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000021 402.1 406.2 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000022 407.4 415.6 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000023 420.3 426.8 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000024 445.2 457.8 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000025 477.6 487.6 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000026 500.4 511.7 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000027 512.3 519.3 
Wendi_McLendon-Covey/zNbrK8g_6sY_0000028 540.0 547.2 
