POI: 			Marcia_Gay_Harden 
Youtube ID: 	0DOmwbPlPvY 
Video length: 	455.3 sec 
Set (V): 		dev 
 
Marcia_Gay_Harden/0DOmwbPlPvY_0000001 81.8 90.3 
Marcia_Gay_Harden/0DOmwbPlPvY_0000002 98.3 113.5 
Marcia_Gay_Harden/0DOmwbPlPvY_0000003 118.4 122.6 
Marcia_Gay_Harden/0DOmwbPlPvY_0000004 140.0 157.2 
Marcia_Gay_Harden/0DOmwbPlPvY_0000005 157.8 163.3 
Marcia_Gay_Harden/0DOmwbPlPvY_0000006 167.8 176.4 
Marcia_Gay_Harden/0DOmwbPlPvY_0000007 208.8 221.5 
Marcia_Gay_Harden/0DOmwbPlPvY_0000008 190.2 196.1 
Marcia_Gay_Harden/0DOmwbPlPvY_0000009 254.0 260.6 
Marcia_Gay_Harden/0DOmwbPlPvY_0000010 264.2 271.4 
Marcia_Gay_Harden/0DOmwbPlPvY_0000011 301.7 308.4 
Marcia_Gay_Harden/0DOmwbPlPvY_0000012 309.2 313.4 
Marcia_Gay_Harden/0DOmwbPlPvY_0000013 320.4 324.6 
Marcia_Gay_Harden/0DOmwbPlPvY_0000014 330.2 335.1 
Marcia_Gay_Harden/0DOmwbPlPvY_0000015 340.1 347.5 
Marcia_Gay_Harden/0DOmwbPlPvY_0000016 347.7 354.7 
Marcia_Gay_Harden/0DOmwbPlPvY_0000017 377.9 385.2 
Marcia_Gay_Harden/0DOmwbPlPvY_0000018 390.2 396.4 
Marcia_Gay_Harden/0DOmwbPlPvY_0000019 414.8 421.1 
