POI: 			Marcia_Gay_Harden 
Youtube ID: 	PMhxIWlDW3A 
Video length: 	346.2 sec 
Set (V): 		dev 
 
Marcia_Gay_Harden/PMhxIWlDW3A_0000001 06.2 16.0 
Marcia_Gay_Harden/PMhxIWlDW3A_0000002 23.9 33.8 
Marcia_Gay_Harden/PMhxIWlDW3A_0000003 49.5 53.5 
Marcia_Gay_Harden/PMhxIWlDW3A_0000004 54.8 58.8 
Marcia_Gay_Harden/PMhxIWlDW3A_0000005 60.5 65.6 
Marcia_Gay_Harden/PMhxIWlDW3A_0000006 66.4 71.4 
Marcia_Gay_Harden/PMhxIWlDW3A_0000007 78.0 86.2 
Marcia_Gay_Harden/PMhxIWlDW3A_0000008 91.4 107.7 
Marcia_Gay_Harden/PMhxIWlDW3A_0000009 114.4 118.8 
Marcia_Gay_Harden/PMhxIWlDW3A_0000010 119.8 123.9 
Marcia_Gay_Harden/PMhxIWlDW3A_0000011 130.2 135.6 
Marcia_Gay_Harden/PMhxIWlDW3A_0000012 139.3 148.1 
Marcia_Gay_Harden/PMhxIWlDW3A_0000013 154.9 159.5 
Marcia_Gay_Harden/PMhxIWlDW3A_0000014 161.6 172.2 
Marcia_Gay_Harden/PMhxIWlDW3A_0000015 174.5 187.4 
Marcia_Gay_Harden/PMhxIWlDW3A_0000016 188.8 195.1 
Marcia_Gay_Harden/PMhxIWlDW3A_0000017 211.4 225.7 
Marcia_Gay_Harden/PMhxIWlDW3A_0000018 227.6 235.5 
Marcia_Gay_Harden/PMhxIWlDW3A_0000019 206.8 211.2 
Marcia_Gay_Harden/PMhxIWlDW3A_0000020 241.4 248.0 
Marcia_Gay_Harden/PMhxIWlDW3A_0000021 267.8 274.6 
Marcia_Gay_Harden/PMhxIWlDW3A_0000022 287.1 299.2 
Marcia_Gay_Harden/PMhxIWlDW3A_0000023 323.8 333.4 
Marcia_Gay_Harden/PMhxIWlDW3A_0000024 336.7 341.4 
