POI: 			Marcia_Gay_Harden 
Youtube ID: 	yjLNreapm7k 
Video length: 	296.0 sec 
Set (V): 		dev 
 
Marcia_Gay_Harden/yjLNreapm7k_0000001 08.5 15.1 
Marcia_Gay_Harden/yjLNreapm7k_0000002 15.7 32.1 
Marcia_Gay_Harden/yjLNreapm7k_0000003 32.8 45.2 
Marcia_Gay_Harden/yjLNreapm7k_0000004 48.9 57.2 
Marcia_Gay_Harden/yjLNreapm7k_0000005 59.2 68.8 
Marcia_Gay_Harden/yjLNreapm7k_0000006 69.6 75.8 
Marcia_Gay_Harden/yjLNreapm7k_0000007 106.4 111.3 
Marcia_Gay_Harden/yjLNreapm7k_0000008 113.6 124.9 
Marcia_Gay_Harden/yjLNreapm7k_0000009 125.6 130.7 
Marcia_Gay_Harden/yjLNreapm7k_0000010 130.8 141.8 
Marcia_Gay_Harden/yjLNreapm7k_0000011 163.7 178.5 
Marcia_Gay_Harden/yjLNreapm7k_0000012 179.6 196.0 
Marcia_Gay_Harden/yjLNreapm7k_0000013 197.2 207.8 
Marcia_Gay_Harden/yjLNreapm7k_0000014 212.4 220.4 
Marcia_Gay_Harden/yjLNreapm7k_0000015 220.5 236.2 
Marcia_Gay_Harden/yjLNreapm7k_0000016 249.7 255.9 
Marcia_Gay_Harden/yjLNreapm7k_0000017 257.4 262.6 
Marcia_Gay_Harden/yjLNreapm7k_0000018 265.4 271.0 
Marcia_Gay_Harden/yjLNreapm7k_0000019 274.3 278.3 
Marcia_Gay_Harden/yjLNreapm7k_0000020 282.2 289.4 
