POI: 			Alfre_Woodard 
Youtube ID: 	BxAk4aS5uUM 
Video length: 	306.0 sec 
Set (V): 		dev 
 
Alfre_Woodard/BxAk4aS5uUM_0000001 23.6 28.2 
Alfre_Woodard/BxAk4aS5uUM_0000002 30.5 36.1 
Alfre_Woodard/BxAk4aS5uUM_0000003 41.2 47.0 
Alfre_Woodard/BxAk4aS5uUM_0000004 48.9 55.1 
Alfre_Woodard/BxAk4aS5uUM_0000005 59.5 64.2 
Alfre_Woodard/BxAk4aS5uUM_0000006 68.0 73.5 
Alfre_Woodard/BxAk4aS5uUM_0000007 73.8 77.8 
Alfre_Woodard/BxAk4aS5uUM_0000008 80.3 85.6 
Alfre_Woodard/BxAk4aS5uUM_0000009 85.7 89.7 
Alfre_Woodard/BxAk4aS5uUM_0000010 91.3 98.9 
Alfre_Woodard/BxAk4aS5uUM_0000011 130.4 136.0 
Alfre_Woodard/BxAk4aS5uUM_0000012 149.2 156.0 
Alfre_Woodard/BxAk4aS5uUM_0000013 168.4 178.2 
Alfre_Woodard/BxAk4aS5uUM_0000014 180.8 189.5 
Alfre_Woodard/BxAk4aS5uUM_0000015 192.0 196.5 
Alfre_Woodard/BxAk4aS5uUM_0000016 203.2 208.9 
Alfre_Woodard/BxAk4aS5uUM_0000017 209.6 215.0 
Alfre_Woodard/BxAk4aS5uUM_0000018 225.2 232.0 
Alfre_Woodard/BxAk4aS5uUM_0000019 242.2 252.2 
Alfre_Woodard/BxAk4aS5uUM_0000020 273.5 285.8 
Alfre_Woodard/BxAk4aS5uUM_0000021 294.5 303.1 
