POI: 			Alfre_Woodard 
Youtube ID: 	KHVJaN5lrq4 
Video length: 	219.6 sec 
Set (V): 		dev 
 
Alfre_Woodard/KHVJaN5lrq4_0000001 09.2 16.4 
Alfre_Woodard/KHVJaN5lrq4_0000002 19.4 23.6 
Alfre_Woodard/KHVJaN5lrq4_0000003 26.4 33.0 
Alfre_Woodard/KHVJaN5lrq4_0000004 47.5 52.2 
Alfre_Woodard/KHVJaN5lrq4_0000005 57.3 61.3 
Alfre_Woodard/KHVJaN5lrq4_0000006 62.0 70.1 
Alfre_Woodard/KHVJaN5lrq4_0000007 72.5 77.4 
Alfre_Woodard/KHVJaN5lrq4_0000008 84.7 90.0 
Alfre_Woodard/KHVJaN5lrq4_0000009 98.0 120.4 
Alfre_Woodard/KHVJaN5lrq4_0000010 126.9 130.9 
Alfre_Woodard/KHVJaN5lrq4_0000011 145.0 157.3 
Alfre_Woodard/KHVJaN5lrq4_0000012 160.0 164.9 
Alfre_Woodard/KHVJaN5lrq4_0000013 175.4 179.6 
Alfre_Woodard/KHVJaN5lrq4_0000014 197.0 203.1 
Alfre_Woodard/KHVJaN5lrq4_0000015 204.2 208.9 
Alfre_Woodard/KHVJaN5lrq4_0000016 209.1 213.5 
