POI: 			Barbara_Hershey 
Youtube ID: 	J9WK4j7mZCA 
Video length: 	1217.1 sec 
Set (V): 		dev 
 
Barbara_Hershey/J9WK4j7mZCA_0000001 24.0 28.1 
Barbara_Hershey/J9WK4j7mZCA_0000002 96.6 110.6 
Barbara_Hershey/J9WK4j7mZCA_0000003 112.7 121.0 
Barbara_Hershey/J9WK4j7mZCA_0000004 137.0 142.1 
Barbara_Hershey/J9WK4j7mZCA_0000005 180.3 184.4 
Barbara_Hershey/J9WK4j7mZCA_0000006 176.0 180.0 
Barbara_Hershey/J9WK4j7mZCA_0000007 195.5 202.4 
Barbara_Hershey/J9WK4j7mZCA_0000008 205.1 213.6 
Barbara_Hershey/J9WK4j7mZCA_0000009 214.8 222.2 
Barbara_Hershey/J9WK4j7mZCA_0000010 258.2 262.2 
Barbara_Hershey/J9WK4j7mZCA_0000011 262.8 268.6 
Barbara_Hershey/J9WK4j7mZCA_0000012 271.7 278.2 
Barbara_Hershey/J9WK4j7mZCA_0000013 279.0 286.8 
Barbara_Hershey/J9WK4j7mZCA_0000014 314.1 330.0 
Barbara_Hershey/J9WK4j7mZCA_0000015 335.2 341.1 
Barbara_Hershey/J9WK4j7mZCA_0000016 342.8 348.0 
Barbara_Hershey/J9WK4j7mZCA_0000017 351.6 367.0 
Barbara_Hershey/J9WK4j7mZCA_0000018 368.6 375.3 
Barbara_Hershey/J9WK4j7mZCA_0000019 381.0 393.9 
Barbara_Hershey/J9WK4j7mZCA_0000020 400.1 404.7 
Barbara_Hershey/J9WK4j7mZCA_0000021 414.0 420.8 
Barbara_Hershey/J9WK4j7mZCA_0000022 421.2 426.3 
Barbara_Hershey/J9WK4j7mZCA_0000023 430.4 435.6 
Barbara_Hershey/J9WK4j7mZCA_0000024 444.9 449.1 
Barbara_Hershey/J9WK4j7mZCA_0000025 450.6 455.3 
Barbara_Hershey/J9WK4j7mZCA_0000026 463.4 471.3 
Barbara_Hershey/J9WK4j7mZCA_0000027 494.2 498.4 
Barbara_Hershey/J9WK4j7mZCA_0000028 539.0 546.0 
Barbara_Hershey/J9WK4j7mZCA_0000029 546.6 558.0 
Barbara_Hershey/J9WK4j7mZCA_0000030 607.5 613.5 
Barbara_Hershey/J9WK4j7mZCA_0000031 614.1 627.8 
Barbara_Hershey/J9WK4j7mZCA_0000032 630.3 634.4 
Barbara_Hershey/J9WK4j7mZCA_0000033 636.8 647.0 
Barbara_Hershey/J9WK4j7mZCA_0000034 674.7 688.6 
Barbara_Hershey/J9WK4j7mZCA_0000035 726.2 730.2 
Barbara_Hershey/J9WK4j7mZCA_0000036 792.1 801.5 
Barbara_Hershey/J9WK4j7mZCA_0000037 835.5 850.9 
Barbara_Hershey/J9WK4j7mZCA_0000038 852.3 856.8 
Barbara_Hershey/J9WK4j7mZCA_0000039 877.0 881.6 
Barbara_Hershey/J9WK4j7mZCA_0000040 877.0 884.3 
Barbara_Hershey/J9WK4j7mZCA_0000041 885.3 898.4 
Barbara_Hershey/J9WK4j7mZCA_0000042 925.4 929.4 
Barbara_Hershey/J9WK4j7mZCA_0000043 929.6 935.9 
Barbara_Hershey/J9WK4j7mZCA_0000044 936.8 948.6 
Barbara_Hershey/J9WK4j7mZCA_0000045 954.7 959.8 
Barbara_Hershey/J9WK4j7mZCA_0000046 966.4 972.2 
Barbara_Hershey/J9WK4j7mZCA_0000047 997.6 1003.8 
Barbara_Hershey/J9WK4j7mZCA_0000048 1016.6 1022.9 
Barbara_Hershey/J9WK4j7mZCA_0000049 1045.1 1052.1 
Barbara_Hershey/J9WK4j7mZCA_0000050 1053.0 1062.0 
Barbara_Hershey/J9WK4j7mZCA_0000051 1097.0 1105.8 
Barbara_Hershey/J9WK4j7mZCA_0000052 1112.3 1117.0 
Barbara_Hershey/J9WK4j7mZCA_0000053 1139.7 1143.6 
Barbara_Hershey/J9WK4j7mZCA_0000054 1160.6 1165.4 
Barbara_Hershey/J9WK4j7mZCA_0000055 1175.3 1181.1 
Barbara_Hershey/J9WK4j7mZCA_0000056 1194.9 1199.6 
Barbara_Hershey/J9WK4j7mZCA_0000057 1199.9 1204.2 
