POI: 			Barbara_Hershey 
Youtube ID: 	pek5fiJnCMk 
Video length: 	378.8 sec 
Set (V): 		dev 
 
Barbara_Hershey/pek5fiJnCMk_0000001 29.2 37.2 
Barbara_Hershey/pek5fiJnCMk_0000002 45.1 52.2 
Barbara_Hershey/pek5fiJnCMk_0000003 77.7 84.7 
Barbara_Hershey/pek5fiJnCMk_0000004 85.3 89.5 
Barbara_Hershey/pek5fiJnCMk_0000005 92.8 104.2 
Barbara_Hershey/pek5fiJnCMk_0000006 111.4 117.1 
Barbara_Hershey/pek5fiJnCMk_0000007 132.9 140.6 
Barbara_Hershey/pek5fiJnCMk_0000008 140.8 148.0 
Barbara_Hershey/pek5fiJnCMk_0000009 164.9 169.9 
Barbara_Hershey/pek5fiJnCMk_0000010 170.0 178.5 
Barbara_Hershey/pek5fiJnCMk_0000011 189.8 196.4 
Barbara_Hershey/pek5fiJnCMk_0000012 215.8 225.2 
Barbara_Hershey/pek5fiJnCMk_0000013 228.5 233.6 
Barbara_Hershey/pek5fiJnCMk_0000014 246.3 267.7 
Barbara_Hershey/pek5fiJnCMk_0000015 270.8 277.6 
Barbara_Hershey/pek5fiJnCMk_0000016 304.7 310.6 
Barbara_Hershey/pek5fiJnCMk_0000017 311.0 315.3 
Barbara_Hershey/pek5fiJnCMk_0000018 340.0 348.3 
