POI: 			Bob_Barker 
Youtube ID: 	NTHlOJY58Hc 
Video length: 	1717.4 sec 
Set (V): 		dev 
 
Bob_Barker/NTHlOJY58Hc_0000001 22.2 28.5 
Bob_Barker/NTHlOJY58Hc_0000002 29.0 36.9 
Bob_Barker/NTHlOJY58Hc_0000003 45.1 56.2 
Bob_Barker/NTHlOJY58Hc_0000004 56.4 60.8 
Bob_Barker/NTHlOJY58Hc_0000005 63.8 68.4 
Bob_Barker/NTHlOJY58Hc_0000006 70.8 80.6 
Bob_Barker/NTHlOJY58Hc_0000007 83.1 87.8 
Bob_Barker/NTHlOJY58Hc_0000008 98.0 117.6 
Bob_Barker/NTHlOJY58Hc_0000009 118.8 130.2 
Bob_Barker/NTHlOJY58Hc_0000010 138.5 169.2 
Bob_Barker/NTHlOJY58Hc_0000011 173.4 192.9 
Bob_Barker/NTHlOJY58Hc_0000012 195.1 199.5 
Bob_Barker/NTHlOJY58Hc_0000013 209.3 224.3 
Bob_Barker/NTHlOJY58Hc_0000014 225.2 234.0 
Bob_Barker/NTHlOJY58Hc_0000015 238.7 243.3 
Bob_Barker/NTHlOJY58Hc_0000016 274.3 280.0 
Bob_Barker/NTHlOJY58Hc_0000017 280.8 294.7 
Bob_Barker/NTHlOJY58Hc_0000018 300.3 311.2 
Bob_Barker/NTHlOJY58Hc_0000019 317.4 322.0 
Bob_Barker/NTHlOJY58Hc_0000020 317.3 325.3 
Bob_Barker/NTHlOJY58Hc_0000021 330.5 352.4 
Bob_Barker/NTHlOJY58Hc_0000022 356.7 361.3 
Bob_Barker/NTHlOJY58Hc_0000023 364.3 371.2 
Bob_Barker/NTHlOJY58Hc_0000024 374.8 384.9 
Bob_Barker/NTHlOJY58Hc_0000025 385.1 401.6 
Bob_Barker/NTHlOJY58Hc_0000026 401.8 409.5 
Bob_Barker/NTHlOJY58Hc_0000027 409.9 418.4 
Bob_Barker/NTHlOJY58Hc_0000028 419.1 426.8 
Bob_Barker/NTHlOJY58Hc_0000029 430.0 445.5 
Bob_Barker/NTHlOJY58Hc_0000030 446.4 468.4 
Bob_Barker/NTHlOJY58Hc_0000031 476.1 482.6 
Bob_Barker/NTHlOJY58Hc_0000032 485.8 490.6 
Bob_Barker/NTHlOJY58Hc_0000033 497.0 506.5 
Bob_Barker/NTHlOJY58Hc_0000034 506.6 515.6 
Bob_Barker/NTHlOJY58Hc_0000035 516.6 521.5 
Bob_Barker/NTHlOJY58Hc_0000036 534.9 555.2 
Bob_Barker/NTHlOJY58Hc_0000037 555.5 575.6 
Bob_Barker/NTHlOJY58Hc_0000038 575.8 588.5 
Bob_Barker/NTHlOJY58Hc_0000039 590.0 603.5 
Bob_Barker/NTHlOJY58Hc_0000040 610.0 616.0 
Bob_Barker/NTHlOJY58Hc_0000041 620.6 627.8 
Bob_Barker/NTHlOJY58Hc_0000042 644.4 655.0 
Bob_Barker/NTHlOJY58Hc_0000043 572.6 588.6 
Bob_Barker/NTHlOJY58Hc_0000044 590.0 603.5 
Bob_Barker/NTHlOJY58Hc_0000045 609.8 616.0 
Bob_Barker/NTHlOJY58Hc_0000046 616.6 627.7 
Bob_Barker/NTHlOJY58Hc_0000047 644.5 650.9 
Bob_Barker/NTHlOJY58Hc_0000048 673.2 677.8 
Bob_Barker/NTHlOJY58Hc_0000049 679.0 689.3 
Bob_Barker/NTHlOJY58Hc_0000050 690.3 704.0 
Bob_Barker/NTHlOJY58Hc_0000051 715.2 730.6 
Bob_Barker/NTHlOJY58Hc_0000052 741.6 748.8 
Bob_Barker/NTHlOJY58Hc_0000053 755.4 775.7 
Bob_Barker/NTHlOJY58Hc_0000054 784.7 796.5 
