POI: 			Bob_Barker 
Youtube ID: 	qMU3f7XiSlE 
Video length: 	1699.4 sec 
Set (V): 		dev 
 
Bob_Barker/qMU3f7XiSlE_0000001 12.8 17.0 
Bob_Barker/qMU3f7XiSlE_0000002 23.2 31.0 
Bob_Barker/qMU3f7XiSlE_0000003 35.5 81.2 
Bob_Barker/qMU3f7XiSlE_0000004 86.6 100.1 
Bob_Barker/qMU3f7XiSlE_0000005 102.0 113.9 
Bob_Barker/qMU3f7XiSlE_0000006 116.1 144.8 
Bob_Barker/qMU3f7XiSlE_0000007 165.0 171.3 
Bob_Barker/qMU3f7XiSlE_0000008 172.1 180.2 
Bob_Barker/qMU3f7XiSlE_0000009 181.4 192.5 
Bob_Barker/qMU3f7XiSlE_0000010 249.5 260.2 
Bob_Barker/qMU3f7XiSlE_0000011 261.2 272.8 
Bob_Barker/qMU3f7XiSlE_0000012 286.4 311.6 
Bob_Barker/qMU3f7XiSlE_0000013 321.0 336.3 
Bob_Barker/qMU3f7XiSlE_0000014 337.1 349.9 
Bob_Barker/qMU3f7XiSlE_0000015 351.0 363.2 
Bob_Barker/qMU3f7XiSlE_0000016 363.9 374.3 
Bob_Barker/qMU3f7XiSlE_0000017 452.6 474.0 
Bob_Barker/qMU3f7XiSlE_0000018 481.0 486.2 
Bob_Barker/qMU3f7XiSlE_0000019 510.5 516.6 
Bob_Barker/qMU3f7XiSlE_0000020 518.7 524.4 
Bob_Barker/qMU3f7XiSlE_0000021 546.3 550.6 
Bob_Barker/qMU3f7XiSlE_0000022 565.0 574.9 
Bob_Barker/qMU3f7XiSlE_0000023 582.6 588.8 
Bob_Barker/qMU3f7XiSlE_0000024 603.4 613.4 
Bob_Barker/qMU3f7XiSlE_0000025 625.8 632.3 
Bob_Barker/qMU3f7XiSlE_0000026 639.2 647.9 
Bob_Barker/qMU3f7XiSlE_0000027 655.8 666.2 
Bob_Barker/qMU3f7XiSlE_0000028 668.6 676.2 
Bob_Barker/qMU3f7XiSlE_0000029 703.5 713.2 
Bob_Barker/qMU3f7XiSlE_0000030 714.4 719.7 
Bob_Barker/qMU3f7XiSlE_0000031 725.2 730.1 
Bob_Barker/qMU3f7XiSlE_0000032 737.3 743.7 
Bob_Barker/qMU3f7XiSlE_0000033 744.7 749.9 
Bob_Barker/qMU3f7XiSlE_0000034 750.5 757.8 
Bob_Barker/qMU3f7XiSlE_0000035 765.6 774.9 
Bob_Barker/qMU3f7XiSlE_0000036 775.0 793.5 
Bob_Barker/qMU3f7XiSlE_0000037 796.0 800.0 
Bob_Barker/qMU3f7XiSlE_0000038 802.3 822.6 
Bob_Barker/qMU3f7XiSlE_0000039 825.2 838.2 
Bob_Barker/qMU3f7XiSlE_0000040 838.3 849.4 
Bob_Barker/qMU3f7XiSlE_0000041 856.1 868.6 
Bob_Barker/qMU3f7XiSlE_0000042 872.0 876.9 
Bob_Barker/qMU3f7XiSlE_0000043 901.9 906.1 
Bob_Barker/qMU3f7XiSlE_0000044 1006.1 1010.2 
Bob_Barker/qMU3f7XiSlE_0000045 1010.4 1022.1 
Bob_Barker/qMU3f7XiSlE_0000046 1022.6 1033.5 
Bob_Barker/qMU3f7XiSlE_0000047 1035.4 1039.6 
