POI: 			Bob_Barker 
Youtube ID: 	F8tju2wuDEs 
Video length: 	1703.8 sec 
Set (V): 		dev 
 
Bob_Barker/F8tju2wuDEs_0000001 11.0 19.1 
Bob_Barker/F8tju2wuDEs_0000002 22.2 29.7 
Bob_Barker/F8tju2wuDEs_0000003 38.8 44.6 
Bob_Barker/F8tju2wuDEs_0000004 57.1 78.7 
Bob_Barker/F8tju2wuDEs_0000005 80.4 88.9 
Bob_Barker/F8tju2wuDEs_0000006 90.0 94.6 
Bob_Barker/F8tju2wuDEs_0000007 111.6 116.4 
Bob_Barker/F8tju2wuDEs_0000008 122.5 130.4 
Bob_Barker/F8tju2wuDEs_0000009 131.1 166.0 
Bob_Barker/F8tju2wuDEs_0000010 166.6 181.1 
Bob_Barker/F8tju2wuDEs_0000011 205.6 214.3 
Bob_Barker/F8tju2wuDEs_0000012 215.2 219.8 
Bob_Barker/F8tju2wuDEs_0000013 205.4 214.2 
Bob_Barker/F8tju2wuDEs_0000014 215.2 227.7 
Bob_Barker/F8tju2wuDEs_0000015 251.2 258.6 
Bob_Barker/F8tju2wuDEs_0000016 268.5 282.0 
Bob_Barker/F8tju2wuDEs_0000017 282.8 296.6 
Bob_Barker/F8tju2wuDEs_0000018 301.3 312.5 
Bob_Barker/F8tju2wuDEs_0000019 326.4 330.6 
Bob_Barker/F8tju2wuDEs_0000020 335.2 346.9 
Bob_Barker/F8tju2wuDEs_0000021 349.0 357.8 
Bob_Barker/F8tju2wuDEs_0000022 358.5 363.4 
Bob_Barker/F8tju2wuDEs_0000023 377.8 385.1 
Bob_Barker/F8tju2wuDEs_0000024 387.6 399.1 
Bob_Barker/F8tju2wuDEs_0000025 400.4 409.5 
Bob_Barker/F8tju2wuDEs_0000026 429.9 434.9 
Bob_Barker/F8tju2wuDEs_0000027 438.3 442.6 
Bob_Barker/F8tju2wuDEs_0000028 454.8 459.9 
Bob_Barker/F8tju2wuDEs_0000029 462.7 468.2 
Bob_Barker/F8tju2wuDEs_0000030 470.0 476.3 
Bob_Barker/F8tju2wuDEs_0000031 480.8 491.3 
Bob_Barker/F8tju2wuDEs_0000032 493.6 510.6 
Bob_Barker/F8tju2wuDEs_0000033 514.3 519.4 
Bob_Barker/F8tju2wuDEs_0000034 522.2 542.7 
Bob_Barker/F8tju2wuDEs_0000035 549.8 556.8 
Bob_Barker/F8tju2wuDEs_0000036 557.5 566.1 
Bob_Barker/F8tju2wuDEs_0000037 576.0 584.1 
Bob_Barker/F8tju2wuDEs_0000038 525.9 540.0 
Bob_Barker/F8tju2wuDEs_0000039 550.0 559.0 
Bob_Barker/F8tju2wuDEs_0000040 587.3 591.7 
Bob_Barker/F8tju2wuDEs_0000041 612.9 616.8 
Bob_Barker/F8tju2wuDEs_0000042 617.2 623.0 
Bob_Barker/F8tju2wuDEs_0000043 625.0 631.6 
Bob_Barker/F8tju2wuDEs_0000044 633.2 642.8 
Bob_Barker/F8tju2wuDEs_0000045 643.7 647.7 
Bob_Barker/F8tju2wuDEs_0000046 661.2 668.6 
Bob_Barker/F8tju2wuDEs_0000047 668.7 681.3 
Bob_Barker/F8tju2wuDEs_0000048 684.9 688.9 
Bob_Barker/F8tju2wuDEs_0000049 689.7 699.2 
Bob_Barker/F8tju2wuDEs_0000050 706.5 725.2 
Bob_Barker/F8tju2wuDEs_0000051 728.7 735.0 
Bob_Barker/F8tju2wuDEs_0000052 747.6 754.1 
Bob_Barker/F8tju2wuDEs_0000053 754.9 759.2 
Bob_Barker/F8tju2wuDEs_0000054 759.6 774.1 
Bob_Barker/F8tju2wuDEs_0000055 782.2 788.4 
Bob_Barker/F8tju2wuDEs_0000056 801.6 811.8 
Bob_Barker/F8tju2wuDEs_0000057 812.8 820.1 
Bob_Barker/F8tju2wuDEs_0000058 830.8 840.0 
Bob_Barker/F8tju2wuDEs_0000059 842.5 847.8 
Bob_Barker/F8tju2wuDEs_0000060 848.1 854.0 
Bob_Barker/F8tju2wuDEs_0000061 885.6 889.8 
Bob_Barker/F8tju2wuDEs_0000062 890.7 898.0 
Bob_Barker/F8tju2wuDEs_0000063 902.8 917.1 
Bob_Barker/F8tju2wuDEs_0000064 930.2 941.7 
Bob_Barker/F8tju2wuDEs_0000065 950.0 956.6 
Bob_Barker/F8tju2wuDEs_0000066 958.9 963.6 
Bob_Barker/F8tju2wuDEs_0000067 963.8 969.6 
Bob_Barker/F8tju2wuDEs_0000068 970.5 980.2 
Bob_Barker/F8tju2wuDEs_0000069 992.4 996.5 
Bob_Barker/F8tju2wuDEs_0000070 1008.2 1014.4 
Bob_Barker/F8tju2wuDEs_0000071 1020.0 1046.3 
Bob_Barker/F8tju2wuDEs_0000072 1047.2 1052.5 
Bob_Barker/F8tju2wuDEs_0000073 1057.6 1063.2 
Bob_Barker/F8tju2wuDEs_0000074 1070.3 1075.8 
Bob_Barker/F8tju2wuDEs_0000075 1076.2 1082.4 
Bob_Barker/F8tju2wuDEs_0000076 1083.1 1091.1 
Bob_Barker/F8tju2wuDEs_0000077 1099.7 1103.9 
Bob_Barker/F8tju2wuDEs_0000078 1119.0 1123.0 
Bob_Barker/F8tju2wuDEs_0000079 1125.7 1136.2 
Bob_Barker/F8tju2wuDEs_0000080 1138.3 1142.3 
Bob_Barker/F8tju2wuDEs_0000081 1158.2 1162.5 
Bob_Barker/F8tju2wuDEs_0000082 1177.6 1183.6 
Bob_Barker/F8tju2wuDEs_0000083 1185.4 1190.0 
Bob_Barker/F8tju2wuDEs_0000084 1190.8 1195.1 
Bob_Barker/F8tju2wuDEs_0000085 1195.2 1204.6 
Bob_Barker/F8tju2wuDEs_0000086 1225.4 1229.6 
Bob_Barker/F8tju2wuDEs_0000087 1232.4 1241.7 
Bob_Barker/F8tju2wuDEs_0000088 1242.6 1256.2 
Bob_Barker/F8tju2wuDEs_0000089 1257.0 1262.8 
Bob_Barker/F8tju2wuDEs_0000090 1263.2 1268.2 
Bob_Barker/F8tju2wuDEs_0000091 1269.2 1275.9 
Bob_Barker/F8tju2wuDEs_0000092 1276.0 1280.6 
Bob_Barker/F8tju2wuDEs_0000093 1285.8 1292.2 
Bob_Barker/F8tju2wuDEs_0000094 1292.8 1301.5 
Bob_Barker/F8tju2wuDEs_0000095 1302.4 1307.7 
Bob_Barker/F8tju2wuDEs_0000096 1315.0 1319.5 
Bob_Barker/F8tju2wuDEs_0000097 1329.0 1337.3 
Bob_Barker/F8tju2wuDEs_0000098 1338.8 1343.3 
Bob_Barker/F8tju2wuDEs_0000099 1346.0 1350.2 
Bob_Barker/F8tju2wuDEs_0000100 1362.0 1370.1 
Bob_Barker/F8tju2wuDEs_0000101 1384.4 1394.4 
Bob_Barker/F8tju2wuDEs_0000102 1397.6 1402.3 
Bob_Barker/F8tju2wuDEs_0000103 1411.0 1429.8 
Bob_Barker/F8tju2wuDEs_0000104 1437.8 1442.8 
Bob_Barker/F8tju2wuDEs_0000105 1447.8 1452.4 
Bob_Barker/F8tju2wuDEs_0000106 1474.6 1481.8 
Bob_Barker/F8tju2wuDEs_0000107 1493.7 1501.5 
Bob_Barker/F8tju2wuDEs_0000108 1502.4 1509.1 
Bob_Barker/F8tju2wuDEs_0000109 1525.0 1529.6 
Bob_Barker/F8tju2wuDEs_0000110 1539.4 1554.5 
Bob_Barker/F8tju2wuDEs_0000111 1556.8 1565.8 
Bob_Barker/F8tju2wuDEs_0000112 1570.6 1586.5 
Bob_Barker/F8tju2wuDEs_0000113 1608.3 1615.3 
Bob_Barker/F8tju2wuDEs_0000114 1616.8 1629.6 
Bob_Barker/F8tju2wuDEs_0000115 1640.3 1648.4 
Bob_Barker/F8tju2wuDEs_0000116 1653.7 1664.2 
Bob_Barker/F8tju2wuDEs_0000117 1684.7 1694.8 
