POI: 			Bob_Barker 
Youtube ID: 	cII4Z0sCl9Y 
Video length: 	1722.0 sec 
Set (V): 		dev 
 
Bob_Barker/cII4Z0sCl9Y_0000001 08.9 19.4 
Bob_Barker/cII4Z0sCl9Y_0000002 45.9 52.0 
Bob_Barker/cII4Z0sCl9Y_0000003 59.2 74.4 
Bob_Barker/cII4Z0sCl9Y_0000004 74.8 83.7 
Bob_Barker/cII4Z0sCl9Y_0000005 92.2 103.9 
Bob_Barker/cII4Z0sCl9Y_0000006 107.8 127.1 
Bob_Barker/cII4Z0sCl9Y_0000007 127.8 142.0 
Bob_Barker/cII4Z0sCl9Y_0000008 246.0 258.9 
Bob_Barker/cII4Z0sCl9Y_0000009 259.9 276.9 
Bob_Barker/cII4Z0sCl9Y_0000010 278.4 286.0 
Bob_Barker/cII4Z0sCl9Y_0000011 286.9 294.7 
Bob_Barker/cII4Z0sCl9Y_0000012 295.0 311.8 
Bob_Barker/cII4Z0sCl9Y_0000013 312.0 318.3 
Bob_Barker/cII4Z0sCl9Y_0000014 333.4 338.3 
Bob_Barker/cII4Z0sCl9Y_0000015 361.1 367.1 
Bob_Barker/cII4Z0sCl9Y_0000016 370.9 380.3 
Bob_Barker/cII4Z0sCl9Y_0000017 359.7 383.6 
Bob_Barker/cII4Z0sCl9Y_0000018 395.9 404.3 
Bob_Barker/cII4Z0sCl9Y_0000019 412.0 418.5 
Bob_Barker/cII4Z0sCl9Y_0000020 430.6 438.3 
Bob_Barker/cII4Z0sCl9Y_0000021 430.6 445.4 
Bob_Barker/cII4Z0sCl9Y_0000022 452.9 468.8 
Bob_Barker/cII4Z0sCl9Y_0000023 469.0 491.8 
Bob_Barker/cII4Z0sCl9Y_0000024 492.5 507.7 
Bob_Barker/cII4Z0sCl9Y_0000025 514.5 522.6 
Bob_Barker/cII4Z0sCl9Y_0000026 543.3 552.6 
Bob_Barker/cII4Z0sCl9Y_0000027 556.0 560.6 
Bob_Barker/cII4Z0sCl9Y_0000028 563.0 567.8 
