POI: 			Bob_Barker 
Youtube ID: 	5Ciy1E1gYRc 
Video length: 	1707.4 sec 
Set (V): 		dev 
 
Bob_Barker/5Ciy1E1gYRc_0000001 12.6 18.6 
Bob_Barker/5Ciy1E1gYRc_0000002 18.8 23.6 
Bob_Barker/5Ciy1E1gYRc_0000003 27.2 31.2 
Bob_Barker/5Ciy1E1gYRc_0000004 31.3 35.2 
Bob_Barker/5Ciy1E1gYRc_0000005 36.4 45.8 
Bob_Barker/5Ciy1E1gYRc_0000006 46.4 50.5 
Bob_Barker/5Ciy1E1gYRc_0000007 52.9 61.0 
Bob_Barker/5Ciy1E1gYRc_0000008 64.5 78.6 
Bob_Barker/5Ciy1E1gYRc_0000009 79.2 84.6 
Bob_Barker/5Ciy1E1gYRc_0000010 91.6 97.4 
Bob_Barker/5Ciy1E1gYRc_0000011 107.8 116.6 
Bob_Barker/5Ciy1E1gYRc_0000012 116.9 122.3 
Bob_Barker/5Ciy1E1gYRc_0000013 144.0 152.1 
Bob_Barker/5Ciy1E1gYRc_0000014 173.6 181.9 
Bob_Barker/5Ciy1E1gYRc_0000015 182.4 196.6 
Bob_Barker/5Ciy1E1gYRc_0000016 204.1 210.6 
Bob_Barker/5Ciy1E1gYRc_0000017 228.0 232.6 
Bob_Barker/5Ciy1E1gYRc_0000018 237.0 245.8 
Bob_Barker/5Ciy1E1gYRc_0000019 260.3 268.0 
Bob_Barker/5Ciy1E1gYRc_0000020 268.6 272.6 
Bob_Barker/5Ciy1E1gYRc_0000021 274.8 288.3 
Bob_Barker/5Ciy1E1gYRc_0000022 312.5 316.6 
Bob_Barker/5Ciy1E1gYRc_0000023 322.4 329.3 
Bob_Barker/5Ciy1E1gYRc_0000024 331.1 335.0 
Bob_Barker/5Ciy1E1gYRc_0000025 361.6 368.5 
Bob_Barker/5Ciy1E1gYRc_0000026 369.3 384.2 
Bob_Barker/5Ciy1E1gYRc_0000027 389.6 401.9 
Bob_Barker/5Ciy1E1gYRc_0000028 411.5 416.4 
Bob_Barker/5Ciy1E1gYRc_0000029 416.5 425.8 
Bob_Barker/5Ciy1E1gYRc_0000030 426.0 431.1 
Bob_Barker/5Ciy1E1gYRc_0000031 438.6 450.6 
Bob_Barker/5Ciy1E1gYRc_0000032 451.0 461.6 
Bob_Barker/5Ciy1E1gYRc_0000033 470.6 493.2 
Bob_Barker/5Ciy1E1gYRc_0000034 500.8 507.3 
Bob_Barker/5Ciy1E1gYRc_0000035 510.0 515.8 
Bob_Barker/5Ciy1E1gYRc_0000036 516.7 526.1 
Bob_Barker/5Ciy1E1gYRc_0000037 558.8 563.7 
Bob_Barker/5Ciy1E1gYRc_0000038 565.4 571.3 
Bob_Barker/5Ciy1E1gYRc_0000039 571.4 579.4 
Bob_Barker/5Ciy1E1gYRc_0000040 579.8 584.5 
Bob_Barker/5Ciy1E1gYRc_0000041 586.6 595.4 
Bob_Barker/5Ciy1E1gYRc_0000042 665.5 674.5 
Bob_Barker/5Ciy1E1gYRc_0000043 677.3 683.1 
Bob_Barker/5Ciy1E1gYRc_0000044 685.0 690.0 
Bob_Barker/5Ciy1E1gYRc_0000045 695.0 700.1 
Bob_Barker/5Ciy1E1gYRc_0000046 728.4 734.2 
Bob_Barker/5Ciy1E1gYRc_0000047 738.6 744.0 
Bob_Barker/5Ciy1E1gYRc_0000048 745.9 753.9 
Bob_Barker/5Ciy1E1gYRc_0000049 759.0 765.9 
Bob_Barker/5Ciy1E1gYRc_0000050 769.4 773.6 
Bob_Barker/5Ciy1E1gYRc_0000051 777.9 782.4 
Bob_Barker/5Ciy1E1gYRc_0000052 786.9 794.0 
Bob_Barker/5Ciy1E1gYRc_0000053 802.1 809.6 
Bob_Barker/5Ciy1E1gYRc_0000054 812.8 832.5 
Bob_Barker/5Ciy1E1gYRc_0000055 873.0 877.6 
Bob_Barker/5Ciy1E1gYRc_0000056 889.8 893.8 
Bob_Barker/5Ciy1E1gYRc_0000057 900.5 906.0 
Bob_Barker/5Ciy1E1gYRc_0000058 912.0 916.4 
Bob_Barker/5Ciy1E1gYRc_0000059 923.8 931.9 
Bob_Barker/5Ciy1E1gYRc_0000060 943.2 951.7 
Bob_Barker/5Ciy1E1gYRc_0000061 952.9 974.0 
Bob_Barker/5Ciy1E1gYRc_0000062 974.5 979.0 
Bob_Barker/5Ciy1E1gYRc_0000063 983.0 1017.9 
Bob_Barker/5Ciy1E1gYRc_0000064 1026.0 1032.4 
Bob_Barker/5Ciy1E1gYRc_0000065 1107.5 1116.4 
Bob_Barker/5Ciy1E1gYRc_0000066 1123.4 1132.8 
Bob_Barker/5Ciy1E1gYRc_0000067 1162.4 1172.9 
Bob_Barker/5Ciy1E1gYRc_0000068 1203.7 1207.8 
Bob_Barker/5Ciy1E1gYRc_0000069 1208.0 1215.9 
Bob_Barker/5Ciy1E1gYRc_0000070 1216.7 1227.6 
Bob_Barker/5Ciy1E1gYRc_0000071 1235.6 1241.6 
Bob_Barker/5Ciy1E1gYRc_0000072 1164.1 1173.1 
Bob_Barker/5Ciy1E1gYRc_0000073 1180.7 1186.3 
Bob_Barker/5Ciy1E1gYRc_0000074 1192.6 1200.5 
Bob_Barker/5Ciy1E1gYRc_0000075 1252.0 1266.8 
Bob_Barker/5Ciy1E1gYRc_0000076 1268.6 1276.1 
Bob_Barker/5Ciy1E1gYRc_0000077 1276.7 1280.8 
Bob_Barker/5Ciy1E1gYRc_0000078 1285.2 1291.7 
Bob_Barker/5Ciy1E1gYRc_0000079 1292.5 1300.7 
Bob_Barker/5Ciy1E1gYRc_0000080 1306.2 1310.3 
Bob_Barker/5Ciy1E1gYRc_0000081 1317.2 1322.2 
Bob_Barker/5Ciy1E1gYRc_0000082 1377.0 1388.9 
Bob_Barker/5Ciy1E1gYRc_0000083 1400.0 1406.0 
Bob_Barker/5Ciy1E1gYRc_0000084 1406.3 1411.7 
Bob_Barker/5Ciy1E1gYRc_0000085 1420.7 1424.9 
Bob_Barker/5Ciy1E1gYRc_0000086 1433.5 1438.0 
