POI: 			Michael_Jai_White 
Youtube ID: 	NKJp3rNrMnY 
Video length: 	855.5 sec 
Set (V): 		dev 
 
Michael_Jai_White/NKJp3rNrMnY_0000001 11.6 25.7 
Michael_Jai_White/NKJp3rNrMnY_0000002 26.2 30.8 
Michael_Jai_White/NKJp3rNrMnY_0000003 31.6 36.8 
Michael_Jai_White/NKJp3rNrMnY_0000004 37.1 44.1 
Michael_Jai_White/NKJp3rNrMnY_0000005 63.0 69.0 
Michael_Jai_White/NKJp3rNrMnY_0000006 69.3 74.0 
Michael_Jai_White/NKJp3rNrMnY_0000007 90.9 96.2 
Michael_Jai_White/NKJp3rNrMnY_0000008 98.6 112.4 
Michael_Jai_White/NKJp3rNrMnY_0000009 112.5 116.8 
Michael_Jai_White/NKJp3rNrMnY_0000010 153.5 158.6 
Michael_Jai_White/NKJp3rNrMnY_0000011 161.1 166.6 
Michael_Jai_White/NKJp3rNrMnY_0000012 168.2 173.4 
Michael_Jai_White/NKJp3rNrMnY_0000013 175.0 179.6 
Michael_Jai_White/NKJp3rNrMnY_0000014 189.3 193.8 
Michael_Jai_White/NKJp3rNrMnY_0000015 205.5 210.9 
Michael_Jai_White/NKJp3rNrMnY_0000016 225.2 239.5 
Michael_Jai_White/NKJp3rNrMnY_0000017 252.0 258.9 
Michael_Jai_White/NKJp3rNrMnY_0000018 264.7 270.6 
Michael_Jai_White/NKJp3rNrMnY_0000019 270.8 285.8 
Michael_Jai_White/NKJp3rNrMnY_0000020 286.9 297.4 
Michael_Jai_White/NKJp3rNrMnY_0000021 298.3 302.5 
Michael_Jai_White/NKJp3rNrMnY_0000022 316.5 326.1 
Michael_Jai_White/NKJp3rNrMnY_0000023 333.6 344.8 
Michael_Jai_White/NKJp3rNrMnY_0000024 345.8 350.3 
Michael_Jai_White/NKJp3rNrMnY_0000025 362.9 382.0 
Michael_Jai_White/NKJp3rNrMnY_0000026 392.8 397.8 
Michael_Jai_White/NKJp3rNrMnY_0000027 398.2 407.0 
Michael_Jai_White/NKJp3rNrMnY_0000028 407.4 411.5 
Michael_Jai_White/NKJp3rNrMnY_0000029 417.8 423.5 
Michael_Jai_White/NKJp3rNrMnY_0000030 430.7 449.6 
Michael_Jai_White/NKJp3rNrMnY_0000031 462.8 469.2 
Michael_Jai_White/NKJp3rNrMnY_0000032 469.6 473.9 
Michael_Jai_White/NKJp3rNrMnY_0000033 498.2 504.4 
Michael_Jai_White/NKJp3rNrMnY_0000034 515.3 524.0 
Michael_Jai_White/NKJp3rNrMnY_0000035 535.6 557.7 
Michael_Jai_White/NKJp3rNrMnY_0000036 565.5 573.8 
Michael_Jai_White/NKJp3rNrMnY_0000037 589.1 594.6 
Michael_Jai_White/NKJp3rNrMnY_0000038 595.6 601.2 
Michael_Jai_White/NKJp3rNrMnY_0000039 623.8 632.7 
Michael_Jai_White/NKJp3rNrMnY_0000040 639.6 643.7 
Michael_Jai_White/NKJp3rNrMnY_0000041 643.8 647.8 
Michael_Jai_White/NKJp3rNrMnY_0000042 660.5 670.3 
Michael_Jai_White/NKJp3rNrMnY_0000043 672.2 690.4 
Michael_Jai_White/NKJp3rNrMnY_0000044 698.0 703.4 
Michael_Jai_White/NKJp3rNrMnY_0000045 749.4 754.9 
Michael_Jai_White/NKJp3rNrMnY_0000046 761.7 769.5 
Michael_Jai_White/NKJp3rNrMnY_0000047 778.5 789.7 
Michael_Jai_White/NKJp3rNrMnY_0000048 795.0 818.8 
Michael_Jai_White/NKJp3rNrMnY_0000049 844.3 849.9 
