POI: 			Michael_Jai_White 
Youtube ID: 	eWuHmuuwNrw 
Video length: 	241.6 sec 
Set (V): 		dev 
 
Michael_Jai_White/eWuHmuuwNrw_0000001 04.4 08.8 
Michael_Jai_White/eWuHmuuwNrw_0000002 12.8 16.8 
Michael_Jai_White/eWuHmuuwNrw_0000003 30.0 34.6 
Michael_Jai_White/eWuHmuuwNrw_0000004 46.0 51.6 
Michael_Jai_White/eWuHmuuwNrw_0000005 78.2 82.6 
Michael_Jai_White/eWuHmuuwNrw_0000006 85.9 90.2 
Michael_Jai_White/eWuHmuuwNrw_0000007 100.5 105.1 
Michael_Jai_White/eWuHmuuwNrw_0000008 120.8 125.1 
Michael_Jai_White/eWuHmuuwNrw_0000009 136.8 143.4 
Michael_Jai_White/eWuHmuuwNrw_0000010 147.4 158.8 
Michael_Jai_White/eWuHmuuwNrw_0000011 162.0 166.0 
Michael_Jai_White/eWuHmuuwNrw_0000012 168.7 173.2 
Michael_Jai_White/eWuHmuuwNrw_0000013 174.0 183.1 
Michael_Jai_White/eWuHmuuwNrw_0000014 186.8 194.3 
Michael_Jai_White/eWuHmuuwNrw_0000015 198.6 206.6 
Michael_Jai_White/eWuHmuuwNrw_0000016 229.9 234.7 
