POI: 			Dove_Cameron 
Youtube ID: 	RhtEKbRiTnU 
Video length: 	277.6 sec 
Set (V): 		dev 
 
Dove_Cameron/RhtEKbRiTnU_0000001 11.8 20.5 
Dove_Cameron/RhtEKbRiTnU_0000002 20.9 27.6 
Dove_Cameron/RhtEKbRiTnU_0000003 31.8 38.7 
Dove_Cameron/RhtEKbRiTnU_0000004 51.3 56.5 
Dove_Cameron/RhtEKbRiTnU_0000005 57.8 63.0 
Dove_Cameron/RhtEKbRiTnU_0000006 65.0 72.8 
Dove_Cameron/RhtEKbRiTnU_0000007 76.7 81.6 
Dove_Cameron/RhtEKbRiTnU_0000008 84.8 91.6 
Dove_Cameron/RhtEKbRiTnU_0000009 109.9 115.3 
Dove_Cameron/RhtEKbRiTnU_0000010 120.4 128.4 
Dove_Cameron/RhtEKbRiTnU_0000011 143.7 150.4 
Dove_Cameron/RhtEKbRiTnU_0000012 151.2 156.4 
Dove_Cameron/RhtEKbRiTnU_0000013 169.9 184.3 
Dove_Cameron/RhtEKbRiTnU_0000014 189.3 195.4 
Dove_Cameron/RhtEKbRiTnU_0000015 198.1 204.8 
Dove_Cameron/RhtEKbRiTnU_0000016 214.4 221.2 
Dove_Cameron/RhtEKbRiTnU_0000017 222.4 228.9 
Dove_Cameron/RhtEKbRiTnU_0000018 242.2 247.6 
Dove_Cameron/RhtEKbRiTnU_0000019 255.6 261.7 
Dove_Cameron/RhtEKbRiTnU_0000020 264.0 271.9 
