POI: 			Elle_Fanning 
Youtube ID: 	7I1GtGzVfmw 
Video length: 	500.6 sec 
Set (V): 		test 
 
Elle_Fanning/7I1GtGzVfmw_0000001 15.9 22.3 
Elle_Fanning/7I1GtGzVfmw_0000002 170.2 189.6 
Elle_Fanning/7I1GtGzVfmw_0000003 210.9 216.2 
Elle_Fanning/7I1GtGzVfmw_0000004 280.8 287.2 
Elle_Fanning/7I1GtGzVfmw_0000005 289.5 295.3 
Elle_Fanning/7I1GtGzVfmw_0000006 312.6 322.5 
Elle_Fanning/7I1GtGzVfmw_0000007 324.5 333.9 
Elle_Fanning/7I1GtGzVfmw_0000008 345.5 352.3 
Elle_Fanning/7I1GtGzVfmw_0000009 364.2 369.6 
Elle_Fanning/7I1GtGzVfmw_0000010 378.0 387.4 
Elle_Fanning/7I1GtGzVfmw_0000011 411.6 427.8 
Elle_Fanning/7I1GtGzVfmw_0000012 433.2 443.4 
Elle_Fanning/7I1GtGzVfmw_0000013 443.6 455.1 
Elle_Fanning/7I1GtGzVfmw_0000014 466.1 470.0 
Elle_Fanning/7I1GtGzVfmw_0000015 470.2 476.7 
Elle_Fanning/7I1GtGzVfmw_0000016 477.0 487.1 
