POI: 			John_Nettles 
Youtube ID: 	FN8TsOBp8mA 
Video length: 	3181.7 sec 
Set (V): 		dev 
 
John_Nettles/FN8TsOBp8mA_0000001 61.5 66.2 
John_Nettles/FN8TsOBp8mA_0000002 178.5 185.4 
John_Nettles/FN8TsOBp8mA_0000003 484.6 490.4 
John_Nettles/FN8TsOBp8mA_0000004 593.5 598.5 
John_Nettles/FN8TsOBp8mA_0000005 726.0 730.2 
John_Nettles/FN8TsOBp8mA_0000006 730.6 736.0 
John_Nettles/FN8TsOBp8mA_0000007 738.7 743.5 
John_Nettles/FN8TsOBp8mA_0000008 788.5 792.8 
John_Nettles/FN8TsOBp8mA_0000009 798.0 803.4 
John_Nettles/FN8TsOBp8mA_0000010 812.0 817.5 
John_Nettles/FN8TsOBp8mA_0000011 1198.2 1202.4 
John_Nettles/FN8TsOBp8mA_0000012 1306.0 1311.1 
John_Nettles/FN8TsOBp8mA_0000013 1376.0 1381.4 
John_Nettles/FN8TsOBp8mA_0000014 1442.8 1448.2 
John_Nettles/FN8TsOBp8mA_0000015 1523.7 1527.8 
John_Nettles/FN8TsOBp8mA_0000016 1687.2 1693.4 
John_Nettles/FN8TsOBp8mA_0000017 1707.1 1712.7 
John_Nettles/FN8TsOBp8mA_0000018 1844.1 1848.6 
John_Nettles/FN8TsOBp8mA_0000019 1860.0 1866.7 
John_Nettles/FN8TsOBp8mA_0000020 1901.6 1906.2 
John_Nettles/FN8TsOBp8mA_0000021 1946.5 1952.1 
John_Nettles/FN8TsOBp8mA_0000022 2015.6 2027.4 
John_Nettles/FN8TsOBp8mA_0000023 2040.2 2045.5 
John_Nettles/FN8TsOBp8mA_0000024 2066.0 2072.8 
John_Nettles/FN8TsOBp8mA_0000025 2073.9 2079.9 
John_Nettles/FN8TsOBp8mA_0000026 2138.0 2145.3 
John_Nettles/FN8TsOBp8mA_0000027 2316.5 2327.3 
John_Nettles/FN8TsOBp8mA_0000028 2365.7 2377.4 
John_Nettles/FN8TsOBp8mA_0000029 2383.6 2387.8 
John_Nettles/FN8TsOBp8mA_0000030 2393.0 2399.8 
John_Nettles/FN8TsOBp8mA_0000031 2401.4 2405.4 
John_Nettles/FN8TsOBp8mA_0000032 2440.0 2447.6 
John_Nettles/FN8TsOBp8mA_0000033 2453.2 2460.2 
John_Nettles/FN8TsOBp8mA_0000034 2462.0 2475.6 
John_Nettles/FN8TsOBp8mA_0000035 2480.3 2485.7 
John_Nettles/FN8TsOBp8mA_0000036 2507.1 2513.3 
John_Nettles/FN8TsOBp8mA_0000037 2555.6 2560.2 
John_Nettles/FN8TsOBp8mA_0000038 2719.0 2723.2 
John_Nettles/FN8TsOBp8mA_0000039 2742.7 2747.7 
John_Nettles/FN8TsOBp8mA_0000040 2804.3 2815.8 
John_Nettles/FN8TsOBp8mA_0000041 2816.1 2822.7 
John_Nettles/FN8TsOBp8mA_0000042 2865.1 2872.4 
John_Nettles/FN8TsOBp8mA_0000043 3029.3 3035.8 
