POI: 			Teri_Hatcher 
Youtube ID: 	nkWnMiYxqfA 
Video length: 	797.9 sec 
Set (V): 		dev 
 
Teri_Hatcher/nkWnMiYxqfA_0000001 66.6 78.8 
Teri_Hatcher/nkWnMiYxqfA_0000002 82.8 90.9 
Teri_Hatcher/nkWnMiYxqfA_0000003 95.0 99.2 
Teri_Hatcher/nkWnMiYxqfA_0000004 177.8 191.6 
Teri_Hatcher/nkWnMiYxqfA_0000005 196.6 209.6 
Teri_Hatcher/nkWnMiYxqfA_0000006 216.5 221.2 
Teri_Hatcher/nkWnMiYxqfA_0000007 226.1 230.2 
Teri_Hatcher/nkWnMiYxqfA_0000008 233.8 243.0 
Teri_Hatcher/nkWnMiYxqfA_0000009 298.2 306.2 
Teri_Hatcher/nkWnMiYxqfA_0000010 311.6 323.0 
Teri_Hatcher/nkWnMiYxqfA_0000011 333.0 341.8 
Teri_Hatcher/nkWnMiYxqfA_0000012 383.4 388.8 
Teri_Hatcher/nkWnMiYxqfA_0000013 467.3 471.8 
Teri_Hatcher/nkWnMiYxqfA_0000014 471.8 476.7 
Teri_Hatcher/nkWnMiYxqfA_0000015 640.4 644.6 
Teri_Hatcher/nkWnMiYxqfA_0000016 658.2 665.0 
Teri_Hatcher/nkWnMiYxqfA_0000017 686.0 690.3 
Teri_Hatcher/nkWnMiYxqfA_0000018 697.6 703.0 
Teri_Hatcher/nkWnMiYxqfA_0000019 741.3 746.2 
