POI: 			Senta_Berger 
Youtube ID: 	aIiBNSrPmhY 
Video length: 	2256.7 sec 
Set (V): 		dev 
 
Senta_Berger/aIiBNSrPmhY_0000001 94.6 100.6 
Senta_Berger/aIiBNSrPmhY_0000002 103.5 107.6 
Senta_Berger/aIiBNSrPmhY_0000003 129.4 138.1 
Senta_Berger/aIiBNSrPmhY_0000004 155.0 162.8 
Senta_Berger/aIiBNSrPmhY_0000005 185.7 198.7 
Senta_Berger/aIiBNSrPmhY_0000006 226.5 232.2 
Senta_Berger/aIiBNSrPmhY_0000007 236.9 243.8 
Senta_Berger/aIiBNSrPmhY_0000008 280.0 291.7 
Senta_Berger/aIiBNSrPmhY_0000009 354.8 365.7 
Senta_Berger/aIiBNSrPmhY_0000010 369.8 374.2 
Senta_Berger/aIiBNSrPmhY_0000011 387.6 401.0 
Senta_Berger/aIiBNSrPmhY_0000012 426.3 432.8 
Senta_Berger/aIiBNSrPmhY_0000013 433.0 450.8 
Senta_Berger/aIiBNSrPmhY_0000014 512.6 518.1 
Senta_Berger/aIiBNSrPmhY_0000015 593.7 598.3 
Senta_Berger/aIiBNSrPmhY_0000016 606.8 612.6 
Senta_Berger/aIiBNSrPmhY_0000017 613.5 626.7 
Senta_Berger/aIiBNSrPmhY_0000018 629.0 634.6 
Senta_Berger/aIiBNSrPmhY_0000019 668.0 685.2 
Senta_Berger/aIiBNSrPmhY_0000020 687.8 692.9 
Senta_Berger/aIiBNSrPmhY_0000021 729.3 734.1 
Senta_Berger/aIiBNSrPmhY_0000022 860.4 864.3 
Senta_Berger/aIiBNSrPmhY_0000023 865.0 869.8 
Senta_Berger/aIiBNSrPmhY_0000024 892.8 898.4 
Senta_Berger/aIiBNSrPmhY_0000025 904.1 908.4 
Senta_Berger/aIiBNSrPmhY_0000026 915.6 921.1 
Senta_Berger/aIiBNSrPmhY_0000027 926.2 932.5 
Senta_Berger/aIiBNSrPmhY_0000028 933.3 945.6 
Senta_Berger/aIiBNSrPmhY_0000029 946.6 951.2 
Senta_Berger/aIiBNSrPmhY_0000030 951.6 963.4 
Senta_Berger/aIiBNSrPmhY_0000031 983.6 1000.1 
Senta_Berger/aIiBNSrPmhY_0000032 1058.7 1073.6 
Senta_Berger/aIiBNSrPmhY_0000033 1137.4 1145.7 
Senta_Berger/aIiBNSrPmhY_0000034 1150.9 1156.8 
Senta_Berger/aIiBNSrPmhY_0000035 1182.2 1186.6 
Senta_Berger/aIiBNSrPmhY_0000036 1214.3 1221.6 
Senta_Berger/aIiBNSrPmhY_0000037 1231.0 1236.8 
Senta_Berger/aIiBNSrPmhY_0000038 1237.4 1242.1 
Senta_Berger/aIiBNSrPmhY_0000039 1256.9 1265.2 
Senta_Berger/aIiBNSrPmhY_0000040 1267.2 1273.8 
Senta_Berger/aIiBNSrPmhY_0000041 1276.4 1283.9 
Senta_Berger/aIiBNSrPmhY_0000042 1309.4 1315.4 
Senta_Berger/aIiBNSrPmhY_0000043 1350.3 1355.4 
Senta_Berger/aIiBNSrPmhY_0000044 1358.3 1362.7 
Senta_Berger/aIiBNSrPmhY_0000045 1599.8 1613.0 
Senta_Berger/aIiBNSrPmhY_0000046 1627.1 1639.6 
Senta_Berger/aIiBNSrPmhY_0000047 1649.2 1653.6 
Senta_Berger/aIiBNSrPmhY_0000048 1686.4 1693.6 
Senta_Berger/aIiBNSrPmhY_0000049 1695.8 1705.3 
Senta_Berger/aIiBNSrPmhY_0000050 1707.7 1725.3 
Senta_Berger/aIiBNSrPmhY_0000051 1745.7 1750.4 
Senta_Berger/aIiBNSrPmhY_0000052 1807.1 1811.1 
Senta_Berger/aIiBNSrPmhY_0000053 1814.5 1831.2 
Senta_Berger/aIiBNSrPmhY_0000054 1840.7 1845.0 
Senta_Berger/aIiBNSrPmhY_0000055 1867.5 1887.7 
Senta_Berger/aIiBNSrPmhY_0000056 1888.5 1897.9 
Senta_Berger/aIiBNSrPmhY_0000057 2017.5 2023.2 
Senta_Berger/aIiBNSrPmhY_0000058 2047.8 2064.7 
Senta_Berger/aIiBNSrPmhY_0000059 2095.9 2102.7 
Senta_Berger/aIiBNSrPmhY_0000060 2109.4 2113.6 
Senta_Berger/aIiBNSrPmhY_0000061 2179.8 2185.8 
Senta_Berger/aIiBNSrPmhY_0000062 2192.4 2196.6 
