POI: 			Senta_Berger 
Youtube ID: 	1OJyP3MFPjc 
Video length: 	2298.4 sec 
Set (V): 		dev 
 
Senta_Berger/1OJyP3MFPjc_0000001 81.5 89.5 
Senta_Berger/1OJyP3MFPjc_0000002 94.1 102.5 
Senta_Berger/1OJyP3MFPjc_0000003 103.1 108.9 
Senta_Berger/1OJyP3MFPjc_0000004 114.6 122.8 
Senta_Berger/1OJyP3MFPjc_0000005 135.2 143.1 
Senta_Berger/1OJyP3MFPjc_0000006 145.6 163.4 
Senta_Berger/1OJyP3MFPjc_0000007 191.4 198.9 
Senta_Berger/1OJyP3MFPjc_0000008 203.8 222.8 
Senta_Berger/1OJyP3MFPjc_0000009 232.0 236.0 
Senta_Berger/1OJyP3MFPjc_0000010 239.8 249.9 
Senta_Berger/1OJyP3MFPjc_0000011 283.0 298.0 
Senta_Berger/1OJyP3MFPjc_0000012 298.2 313.3 
Senta_Berger/1OJyP3MFPjc_0000013 342.0 350.7 
Senta_Berger/1OJyP3MFPjc_0000014 351.3 359.4 
Senta_Berger/1OJyP3MFPjc_0000015 374.9 382.5 
Senta_Berger/1OJyP3MFPjc_0000016 388.1 392.8 
Senta_Berger/1OJyP3MFPjc_0000017 420.2 427.0 
Senta_Berger/1OJyP3MFPjc_0000018 437.6 459.1 
Senta_Berger/1OJyP3MFPjc_0000019 488.4 496.7 
Senta_Berger/1OJyP3MFPjc_0000020 500.6 505.2 
Senta_Berger/1OJyP3MFPjc_0000021 505.6 509.7 
Senta_Berger/1OJyP3MFPjc_0000022 510.7 534.7 
Senta_Berger/1OJyP3MFPjc_0000023 536.5 542.2 
Senta_Berger/1OJyP3MFPjc_0000024 565.3 582.2 
Senta_Berger/1OJyP3MFPjc_0000025 582.7 587.3 
Senta_Berger/1OJyP3MFPjc_0000026 589.0 605.2 
Senta_Berger/1OJyP3MFPjc_0000027 616.1 636.7 
Senta_Berger/1OJyP3MFPjc_0000028 657.3 661.8 
Senta_Berger/1OJyP3MFPjc_0000029 674.6 683.8 
Senta_Berger/1OJyP3MFPjc_0000030 702.3 711.5 
Senta_Berger/1OJyP3MFPjc_0000031 713.4 718.0 
Senta_Berger/1OJyP3MFPjc_0000032 747.8 773.1 
Senta_Berger/1OJyP3MFPjc_0000033 783.6 803.7 
Senta_Berger/1OJyP3MFPjc_0000034 805.6 813.3 
Senta_Berger/1OJyP3MFPjc_0000035 837.3 845.4 
Senta_Berger/1OJyP3MFPjc_0000036 883.0 896.3 
Senta_Berger/1OJyP3MFPjc_0000037 902.6 920.5 
Senta_Berger/1OJyP3MFPjc_0000038 928.4 937.7 
